stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,36.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.59,68.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68,6.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.92,25.27,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.65,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,2.06,3.55,0,0,19.44,0.83,6.85,0,0,0,0,0,0
 24-34,0,0,0,0,0.87,0,6.31,0,5.7,0,0,3.34,0.76,0,0.79,0,0,3.86,0,0,1.85,13.57,0,1.03,0,86.52,0,0.69,4,4.32,0,0,1.45,0
 36-46,0,0,0.95,0,5.37,0,8.57,0,1.84,0,0,0.59,4.57,0,0,0,0,4.34,0,0,0.94,59.75,0,0,0,120.61,0,0,0,1.86,0,0,0,0.57
 48-58,0,0,0,0,0.42,0.41,16.86,0.65,0.85,0,1,0,0,0,0.52,0,0,6.9,2.92,0,0,53.33,0,0,0,69.04,0,0,0,7.07,0,0,0,1.8
 60-70,0,0,0,0,2.6,0,124.99,0,0.68,0.68,7.59,0.65,0,0,0,0,0,3.88,0,0,0,76.11,0,0,0,56.22,0,0,0,9,0,3.01,0,0
 72-82,0,0,0,0,3.64,0,205.04,0,6.33,0.82,0,0.65,0,0,0,0,0,12.35,0.56,2.07,1.88,77.91,0,0.69,0,34.62,0,0,0,0.74,0.59,0,0,0
 84-94,0,0,0,0,14.07,0,201.72,0,1.14,0,1.31,0,1.78,0,0,0.58,0,10.73,0,4.09,0,23.21,0,0,0,62.03,0,0,0,0,0.72,0,0,0
 96-106,0,0,0,0,16.82,0,346.62,0,7.92,0,1.41,0,0,1.53,0,0,0,4.56,2.72,0,0,53.32,0,0,0,54.22,0,0.6,0,0,0.67,0,0,0
108-118,0,0,0,0,9.3,3.57,328,0,1.33,0,5.75,2.3,0,0,0,0,1.5,1.88,0,0,0,48.04,0,1.05,1.35,38.59,0,0,0,0,2.69,0,0,0.68
120,0,0,0,0,19.31,0,310.71,0,6.41,0,26.51,0,0,0,0,2.83,0,0,0,0,0,58.51,0,0,0,9.44,0,0,0,0,3.15,0,0,0
