stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.28,440.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0,0,0,0,0,0,0,0,0,0
  5-6,24.1,909.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.34,31.64,0,55.83,0,0,0,90.85,0,0,0,0,17.2,0,0,0,0,0,0,0,0,0,490.2,7.39,0,0,145.63,0,0,5.74,0,0,0,0,0,0,0,0,0
 10-12,0,23.67,0,9.32,0,0,0,26.12,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,433.36,0,0,0,118.91,0,0,6.56,0,51.95,0,0,0,0,0,0,0
 14-21,0,0,0,0.98,5.46,4.81,0,3.76,0,0,3.18,0,0,1.5,0,0,0,0,2.58,0,0,1.94,76.98,0,0,0,0,0,0,0,3.44,0,4.91,29.49,0,0,0,0,0
 24-34,0,0,0.75,0,9.82,1.39,0,15.01,0,0,4.48,0,0,0.67,0.9,0,0,0,4.67,0,0.89,4.7,166.82,0,0.99,0,0,0,0.8,0,0,0,0,24.66,0,0,6.72,0,0
 36-46,0,0,0,0,2.38,0,0,18.03,0,0,3.73,0,0,0,0,0,0.68,0,14.99,0,0.77,6.56,106.86,0,1.14,1,0,0,1.45,0,0,0,0,25.33,0,0,2.09,0,0
 48-58,0,0,0,0,3.85,0,0,26.03,0,0,5.6,0,0,0,0,0,0,2.18,14.79,0,0.4,1.7,130.12,0,0,0.66,0,0,0,0,0,0.46,0,11.37,0,0,2.1,0,0
 60-70,0,0,0,0,11.06,0,0,16.7,0,0.6,1.64,0,0,0,0,0,0,0,16.49,0,0,0,114.46,0,0,0,0,1.19,0,0,0,0,0,19.5,0.61,0,0,0,7.75
 72-82,0,0,0,0,3.58,0.98,0,23.48,0,1.95,4.77,0,0,0,0.49,0,0,0,15.04,1.05,0,0.61,85.92,0,0,2.63,0,0,1.66,0,0,0,0,10.33,0,0.75,6.03,0,0
 84-94,0,0,0,0,2.32,0,0,15.05,4.74,0.69,4.1,0,0,0,0,0.73,0,0,11.68,1.23,6.05,0.63,47.35,0,1.1,0.59,0,0,0,0,0,0,0,4.44,0.55,0,1.22,0.74,0
 96-106,0,0,0,0,0,0,0.59,16.29,0,0,2.87,0.94,0,0,0,0.86,0,0,9.07,0,0,0,47.31,0,0,0,0,0,0.75,0,0,0,0,10.84,0,0,3.19,0,0
108-118,0,0,0,0,1.21,0,0,15.03,0,0.7,4.87,0.49,0,0.47,0,0,0,0,11.61,0,0,0,65.51,0,2.17,0,0,0,2.86,0,0,0,0,4.42,0,0,1.41,1.1,0.46
120,0,0,0,0,5.51,3.67,0,39.09,0,2.63,17.02,0,0,4.46,0,0,0,0,27.86,0,0,1.44,96.39,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0
