stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.23,351.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.16,137.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.49,0,0,0,0,0,7.35,0,0,0,0,0,0,0,0,0,0,0,58.85,0,0,0,3.5,0,5.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,0,0,0,0,0,0,0,6.92,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.89,0.92,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,80.39,12.29,0,0,0,1.18,0,0,0.89,0,309.39,1021.18,3.45,0,0,0,0,1.92
 24-34,0,0,0.9,2.61,1.18,0,27.49,632.61,1.55,0.9,1.5,0,0,2.16,5.2,0,0,0.6,0.65,0,8.32,0.87,1.21,212.3,258.16,0,7.63,0.63,0,12.28,0,1.22,2.18,127.92,653.23,39.01,0,0,2.77,0,0
 36-46,0,0,0,2.75,0,0,36.54,1300,0.58,0.65,3.29,0,0,2.99,0,0,0,0,6.31,0,29.96,0.95,0,133.84,208.32,0,0,0,0,23.52,0.81,0,0,89.36,58.28,31.06,0,0,3.14,0,0
 48-58,0,0,0,18.87,1.93,0,117.71,1334.9,0,0,30.49,0,0,0,0,0,0.64,0.73,6.68,5.28,37.98,2.73,1.58,151.9,539.71,2.41,2.18,6.02,6.64,13.42,0,0,0,32.59,0,83.33,0,0,12.57,0,11.55
 60-70,0,0,0,8.43,1.38,0,216.89,867.47,9.36,0.62,40.65,0,4,0,6.58,0,0,0,0,0.59,47.96,0,0.65,110.65,527.31,0,2.71,0.95,0.81,22.4,0,0,0.93,35.19,0,55.88,4.26,0,0,0,17.31
 72-82,0,0,0,9.37,9.22,0,161.87,499.21,0.5,3.25,31.25,0.93,0,0,5.56,0,0,0,3.14,0.98,35.11,0,0.68,56.33,676.7,0,2.62,0,0,0.66,0,0,0,7.11,0,27.95,0,0,10.02,0.49,19.74
 84-94,0,0,0,21.08,17.67,0,173.44,692.26,0.66,0.75,19.39,1.68,0,1.8,4.97,0,8.94,0,0,16,58.05,0,1.37,94.97,478.34,0,6.74,5.05,0,30.58,0,0,0,9.27,0,24.02,0,4.37,1.73,1.74,13.17
 96-106,0,0,0,17.17,21.32,0,217.38,870.39,4.36,0,47.66,1.13,0,0,3.25,0,2.42,1.21,25.14,0,84.29,0.76,1.16,95.57,545.04,6.5,10.6,0.84,1.2,27.29,0,0,0.58,28.74,0,12.76,1.13,0.69,17.73,3.6,13.66
108-118,0,0,0,18.98,17.97,3.78,158.36,651.26,1.25,0,19.67,0,0,2.89,4.07,1.01,6.97,0,1.84,2.36,63.21,0,3.8,122.88,559.52,0,4.26,0,0,10.6,0,0,0.62,13.18,0,13.94,0,2.1,7.72,1.67,14.13
120,0,0,0,7.71,28.83,13,50.82,467.28,0,3.97,13.77,3.06,0,0,11.65,0,0,0,12.82,0,61.52,3.01,0,89.67,558.53,0,0,5.22,0,10.86,0,0,0,2.42,0,5.28,0,0,1.35,4.69,9.68
