stage,blastomeres,epidermis,eye,fin.epithelia,glial,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,22.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,15.22,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.98,0.81,0,0,0,0,0.83,0,0
 24-34,0,1.46,0,0,0,0,0,0,0,0,0,0,12.89,0,0.75,0,8.35,0,0.64,0.69
 36-46,0,1.93,0.59,0,0.99,0,0,0,0,2.08,0,0,3.46,0,0,0,4.39,0,3.33,0
 48-58,0,0,1.32,0,0,0,0,0,0,0.56,2.26,0,0.87,0,0,0,10.55,0,0.47,0
 60-70,0,1.84,6.82,3.05,0,0,0,0,0,0,0,0,5.98,2.62,0,0,13.58,0,0,0
 72-82,0,5.9,0,0,1.03,0,0,0,1.57,0,0,0,9.45,0,0,0,16.58,0,0,0.54
 84-94,0,3.58,0.57,0.55,0,1.84,0,0,0,10.07,0,0,6.05,0,0,0,43.21,0,0,1.04
 96-106,0,2.97,0,0,1.79,0,1.07,0.63,0,2.83,0,0,8.73,0,0,0,38.12,0,0,2.13
108-118,0,1.66,1.4,0.54,0,0,0.42,0,0,0,0,0,3.55,0,2.8,0,28.65,0,0,0
120,0,4.19,0,2.29,0,0,0,0,0,0,0,0,4.27,0,0,0,13.35,0,0,0
