stage,axial,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,hatching.gland,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vasculature
  5-6,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.02,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,11.35,0,0,0.92,0,3.34,0,2.38,0,0,0.87,24.82,0
 24-34,0,0,0,1.04,1.71,18.45,0,0,0,0,11.01,0,13.64,0,0,0.75,24.58,0
 36-46,0,0,0,2.1,0,13.34,0,0,0,0,9.59,0,21.93,0,0,0,16.71,0
 48-58,0,0,0,2.61,0,14.99,0,0,0,0,9.79,0,21.62,0,0,0,7.5,0
 60-70,0,0,0,98.28,0,15.97,0,0,9.56,0,3.2,0,17.1,0,0,0,5.83,0
 72-82,0,0,0,291.23,0,8.9,0,0.5,11.57,0,26.57,0,38.84,3.31,0,0,7.14,0
 84-94,0,0,0,369.08,0,17.19,0,0.64,0,0,16.87,0,13.78,10.22,1.66,2.39,5.42,0.77
 96-106,0,1.76,0,337.78,0,10.39,0,0,2.74,0,12.3,0.77,29.3,17.85,0,0,0.99,0
108-118,0,1.01,0.78,230.17,0,15.42,0,0.63,0,0.76,12.38,0,25.53,10.41,0,0.42,2.06,0
120,0,0,0,332.34,0,0,0,6.85,0,0,55.38,0,12.16,40.45,0,0,0,0
