stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,periderm,pronephros,spinal_cord,vasculature
 14-21,4.57,30.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,4.59
 24-34,2.64,4.44,0,0,0,0,0,3.64,0,0,0.69,0,0,0,0.71,0,0,0,0,5.14
 36-46,3.24,0,0,0,0,0,0,0,0,0,0.91,0,0,2.97,0,0,0,0,0,0
 48-58,6.45,0,0,0,0,0,0,0,0,0,2.33,0,0,1.81,1.47,0,0,0,0,0.38
 60-70,4.91,0,0,0,0,0,0,0,0,0,1.75,0,0,0.74,0,0,5.31,0,0,0.75
 72-82,8.88,0,0,1.09,0,0,0,12.55,0,0,13.39,0,1.52,0,0,0.76,15.42,0,0,0
 84-94,8.75,0,0,0,0,0,0.68,22.68,3.66,0,2.04,0.86,0,0,0,0,65.72,0,0,0
 96-106,8.37,0,0,4.58,1.07,1.85,0,155.6,0,0,7.67,0,0,0,9.69,0,20.22,0,5.85,2.74
108-118,13.45,18.8,1.48,0,0,0,5.88,146,1.16,0.66,8.94,0,0,2.04,4.63,0,13.62,0,0,1.19
120,5.66,0,0,0,0,0,0,96.11,0,0,17.76,0,2.08,12.79,25.74,0,0,0,0,0
