stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,mesenchyme,neural,olfactory,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  5-6,11.99,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.61,0,1.93,0,1,0,3.57,0
 24-34,0,0,0,0,5.42,0,20.71,3.07,0,2.4,7.7,1.01
 36-46,0,0,0.69,0,0,0,6.42,1.21,0,0.72,8.11,0
 48-58,0,0,1.54,0,4.46,0,1.87,1.91,0,0,2.81,0
 60-70,0,0,0.96,4.58,16.89,0,14.47,0.98,0,0,3.68,0
 72-82,0,0,0.8,0,8.03,0,9.83,2.87,0,0,0,0
 84-94,0,0,3.58,0.75,7.66,0,5.2,5.18,0,0,0,0.77
 96-106,0,1.86,1.17,0,15.3,5.21,6.94,1.18,0,0,0.97,0
108-118,0,2.6,0,0,2.9,0.59,0,1.43,0,0,0.48,0
120,0,0,0,0,6.58,2.05,0,0,0,0,0,0
