stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,29.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0.92,0,0,0,0
 24-34,0,0,1.6,0,3.35,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.71,0,0,0,11.67,0,0,2,0,0.83,0
 36-46,0,0,11.27,0,3.75,0,0,0,0,0,0,0,9.13,4.15,0,0,0,0,0,0,804.5,0,0,0,19.01,0,0,0,0,0,0
 48-58,0,0,66.6,0.65,4.63,5.28,0,0.8,0,0.52,0,0,0,0,0,0,4.78,1.76,0.53,0,1523.83,0,0,0,65.51,0.61,0,6.03,0,0.9,0
 60-70,0,0,39.53,0,13.26,3.51,0,0.79,1.34,1.99,0,4.27,0.69,0,0,0,5.1,1.12,0,0,994.37,0,0,0,42.35,0,0,0,0.74,0,0
 72-82,0,0,28.35,1.55,11.27,7.12,1.27,3.84,0,0,0.5,0,3.21,0,0,20.92,7,0.51,0,0,1257.59,0,1.33,0,20.24,0,0,0,1.58,0,1.19
 84-94,0,0,52.74,0,12.01,7.36,0,0.68,0,0,0,0,8.08,0,15.82,0,5.77,1.21,4.68,0.75,1303.72,0,0,0,80.7,0,0,0,0,0,0
 96-106,0,0,94.99,0,2.16,5.62,0.84,3.51,9.21,0,0,0,12.02,0,1.55,38.15,6.02,6.65,0,0,919.64,0,0,0,117.91,0,0,0,0,0,0.96
108-118,0,0,52.28,0,15.31,13.22,4.07,0,0.57,8.22,0,2.14,8.39,0,0,0,8.55,11.36,0,0,582.4,0.41,0,0,159.85,0,0,0,29.04,7.46,0
120,0,0,174.01,0,3.68,9.34,0,0,0,0,0,0,0,0,5.16,0,30.36,0,0,0,571.66,0,9.62,0,35.44,0,0,0,0,0,10.43
