stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,lateral.line,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,128.88,3202.66,0,0,0,0,0,0,0,0,0,0,0,113.95,0,0,0,0
  5-6,76.23,760.72,0,0,0,0,18.67,0,0,0,43.87,0,0,0,0,0,0,0
  7-9,0,0,7.34,0,0,0,0,0,0,0,44.34,0,8.39,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.19,0,0,0,18.64,0,3.11,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.17,0,0,1.61,0,0,0,0.88,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.05,1.34,0,0,0,0,0,0.96
 36-46,0,0,0,0,0,0,0,0,0,0,1.91,0.82,0,0,0,0,0,0
 48-58,0,0,0,0.97,0,0.84,0,0,0,0,2.87,0,0,0.7,0,7.52,0,0
 60-70,0,0,0,0,2.45,18.71,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,4.24,28.15,0,0,0,0,1.57,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,13.02,0,0,0,0,0.77,0.57,0,0,0,0,2.12,0
 96-106,0,0,0,1.11,0,34.31,0,0.79,0,0.66,0,0,0,0,0,3.09,0,0
108-118,0,0,0,0,0,26.77,0,0,0,0,3.04,0,0,0,0.56,0,0,0
120,0,0,0,0,0,60.75,0,0,5.68,2.81,25.68,0,0,0,0,0,0,0
