stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,25.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,57.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,8.14,0,0,0,0,0,0,0,0,27.63,0,0,0,4.05,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.21,0,0,0,16.95,0,0,0,0,0,0
 14-21,0,0.84,1.2,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0.86,9.82,0,0,0,0.94,2.28,2.34,0,0,0,0
 24-34,0,0.95,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,41.27,0,1.23,0,0,0,11.14,0,0,0,0
 36-46,0,0,0,0.75,0,0.79,1.57,0,0,0,4.15,0,0,0.72,0,0,0,197.27,0,0,0,0,0,32.37,0,0,0,0
 48-58,0,3.82,0,25.54,0,0,0.89,0,0,0,0,0,0,4.03,0,0,0.68,444.96,0,0,0,0,0,66.2,0,0,3.83,0
 60-70,0,0,0,27.19,0,0,1.9,0,0,0,0,0,0,3.51,0,0,0,575.73,0,0,0,0,0,65.65,0,0,0,0
 72-82,0,5.41,3.5,41.62,0,0,14.88,0,0,0,0,0,0,1.82,1.61,1.19,0,475.81,0,0,1.07,0,0,80.16,0,2.34,0,0
 84-94,0,0,0,71.64,0,0,4.58,0,0,1.8,0,0.69,0,11.24,0,0,0,320.33,0.65,0,0,0,0,46.8,0.9,0,0,0
 96-106,0,8.46,0,36.08,0,0.82,5.59,0,0,0,0,0,0,4.35,0,0,0,230.27,0,0,0,0,0,10.66,0,0,0,0.68
108-118,0,0.94,0,43.93,0,0.74,9.59,1.11,0,0,0,0,5.97,3.84,0,0,0,406.64,0,0,0,0,0,37.23,0,0,0,0
120,0,0,0,83.55,18.76,1.16,18.71,0,0,0,0,0,0,11.33,0,0,3.76,615.17,0,0,0,0,0,18.04,0,0,2,0
