stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,641.92,11426.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.21,0,0,0,0,0,0,0
  5-6,940.77,11591.45,0,0,0,0,0,0,0,37.24,0,0,0,0,0,0,467.97,46.68,0,0,134.3,247.16,0,0,0,0,0,0,0
  7-9,164.76,195.73,188.22,0,0,387.83,0,0,0,116.63,0,0,0,0,0,0,3979.91,196.56,0,0,1451.93,11.91,62.52,0,0,0,0,0,0
 10-12,0,48.46,132.59,0,0,200.13,0,0,0,15.57,0,0,0,0,0,0,1560.73,55.17,0,0,521.81,3.47,24.87,0,60.16,0,0,3.28,0
 14-21,0,8.65,2.11,110.57,19.57,15.01,0,7.53,8.02,0.86,1.22,1.98,0,24.24,0,17.71,201.44,5.28,1.99,1.02,4.77,4.33,2.68,65.37,2.63,7.94,46.74,52.76,0
 24-34,0,0,0,2.26,0,0,0,1,0,0,0,0,0.76,2.39,0,4.11,15.64,1.33,0,0,0,11.8,0.86,0,0,0,1.27,4.12,2.36
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0,0,2.74,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,1.47,0,0,0,0,0,0,1.59
 60-70,0,0,0,0,0,0,0.68,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0
