stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,210.52,5029.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.87,0,0,0,0,0,0,0,0,0,0,0
  5-6,404.56,10676.48,0,21.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.56,26.13,0,0,28.78,0,156.44,0,0,0,0,0,0,0,0,0,0,0
  7-9,131.89,265.96,0,208.54,0,0,0,1033.06,0,0,0,0,0,204.18,0,0,0,0,0,0,0,0,0,0,7855.91,47.28,0,0,666.86,0,8.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,16.28,119.28,0,221.49,0,65.43,0,637.04,0,0,0,0,0,90.89,0,0,0,0,0,0,0,0,0,0,5669.88,170.02,0,0,292.74,0,0,11.09,0,10,0,0,5.32,0,0,0,0,0
 14-21,0.89,0,0,6.91,207.32,12.07,0,24.01,0,0,0,4.41,1.7,11.75,6.28,0,0,0,0,2.14,66.42,0,0,57.36,586.39,8.84,3,9.3,2.53,0,4.04,0,29.4,0,4.01,57.6,167.98,0,0,1.65,0,0
 24-34,0,0,0,0.81,43.24,1.5,0,107.83,0,1.91,1.02,5.57,0.63,0,6.25,0,0.97,0,0.65,4.1,96.45,1.87,1.63,49.27,1349.82,0,9.79,6.89,0,0,0.88,0,0,1.45,4.81,9.99,225.41,0,0,3.79,0,0
 36-46,0,0,0,0,19.08,0,0,213.62,4.34,2.73,5.41,36.92,0.56,0,8.42,9.04,1.88,1.17,0,7.6,85.22,0,12,17.84,1714.98,5.49,2.09,0.65,0,2.85,7.7,0,1.78,0,0,0,278.12,0,0,1.79,0,1.36
 48-58,0.39,0,0,0.43,20.45,1.64,0,365.24,0.88,1.56,1.69,79.09,0,0,0,0,0.41,0.41,0,0,75.14,2.32,5.85,15.63,1057.06,0,1.68,7.14,0,0,4.29,0,0,0,0,0,205.15,0,0.49,0.52,0,4.82
 60-70,0,0,0.91,0,30.73,0,2.15,460.83,0,6.25,3.23,60.53,0.89,0,0,0,0.67,1.35,0,0,92.88,0,1.96,10.3,582.75,0,2.18,6.71,0,0,1.22,0,0,1.35,0,0,123.69,0,0,5.69,0.98,0.7
 72-82,0,0,2.39,0,9.65,0,1.16,237.77,0,5.05,1.6,23.62,2.23,0,0,0,4.87,2.81,0,3.43,95,0,5.33,15.4,365.62,0,3.58,4.75,0,5.37,7.53,0,0,0.63,0,0,57.66,0,3.35,3.17,1.22,0
 84-94,0,0,0,0,19.04,0,0.76,213.65,0,7.16,3.64,34.8,3.04,1.22,0.8,0,2.52,0.66,0.57,0,105.52,0,4.58,4.05,362.91,0,0.71,6.72,0,5.36,0.71,0,0,0,0,0,41.87,3.63,8.23,0,8.18,0
 96-106,0,0,3.83,0,19.78,0,0,145.23,0.99,5.34,2.59,19.28,3.29,0,3.28,1.56,0,5.69,0,1.69,82.81,0,10.79,13.25,225.15,0,1.02,2.64,0,5.55,1.27,2.06,0,0,0.68,0,19.19,0,5.58,6.47,1.58,1.9
108-118,0,0,0,0,33.68,0,9.8,124.99,0,17.88,0,39.62,3.35,0,1.42,0,2.14,0.87,0,1.03,99.38,5.59,3.77,13.12,323.29,1.17,1.88,9.78,0,2.53,0,0,0,0,0,0,1.68,3.51,0.75,0,2.72,0
120,0,0,0,0,17.41,0,0,120.36,0,5.04,0,60.23,0,0,0,0,0,6.85,0,0,75.02,0,16.98,4.29,308.08,2.43,6.18,2.88,0,19.49,0,0,0,0,0,0,29.03,0,0,4.93,7.34,0
