stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.01,31.97,4.04,0,5.5,0,0.95,0,6.83,2.18,3.38,0.93,0,0.92,0,0,0,0,17.41,0,0,22.55,68.67,4.09,0,0.83,1.7,0.81,0,34.51,1.27,1047.95,1173.33,25.95,0,0,0,0,0
 24-34,0,0,10.77,0,0,36.75,0,1.18,0,2.05,0,0,2.49,0,0.79,0,0,0,0,26.18,0,0,34.32,158.82,6.46,0,1.41,0,28.05,0.86,0,0,422.28,291.85,54.98,0,0,7.67,0,0.62
 36-46,0,0,4.23,0,0,20.35,6.35,9.86,2.11,3.32,0,0,7.7,0,0.56,0,0,0,10.84,22.28,0,0,39.77,192.12,1.67,0,0.57,0,14.53,0,0,2.02,215.51,5.04,45.84,0,0,0.75,0,8.2
 48-58,0,0,8.23,0,0,54.74,10.83,0.69,4.06,12.38,0,0,2.41,0,0,0,0.59,0,0,22.83,0,0,23.74,345.62,0,0,1.52,4.77,9.83,0,0,0,116.56,0,61.13,0,0,0,0,0
 60-70,0,0,14.9,0,0,132.5,34.8,0,6.82,11.62,0,0,0.65,0.98,0,6.54,0,0,0,44.65,0,0,17.16,544.41,5.69,0,1.16,1.62,1.48,0,0,0,68.65,0,62.61,0,0,6.83,0,11.47
 72-82,0.68,0,3.15,0,0,165.6,27.75,0,5.99,19.61,0.85,0,0.66,0,0.53,1.41,0,2.72,0,28.34,1.71,1.81,16.82,598.03,0,0,13.59,2.25,1.01,0,0,0.65,38.94,0,41.83,1.49,0.63,6.62,0,1.1
 84-94,0,0,3.19,5.07,0,148.89,48.93,0.55,2.83,28.14,1.88,2.13,0.63,0.69,0.73,6.4,0,2.24,0.6,22.46,0,0,21.96,402.74,0,0,0,0,12.55,0,0,0.84,84.7,0,28.12,0,0,4.6,1.96,22.28
 96-106,0,0,9.72,5.97,0.8,128.47,59.3,0,1.57,17.83,0.83,0,2.2,1.11,0,5.08,0,0,0,30.92,0,0,22.13,429.17,0,1.93,0,0,3.13,0,0,0,71.93,0,21.71,0,0,1.56,7.69,6.06
108-118,0.75,0,7.45,0.45,2.17,188.76,58.82,0,1.33,18.98,0.55,0,1.63,0.44,0,12.88,0,0.46,0,22.88,1.38,4.99,11.33,514.52,0,0,3.85,0,3.03,0,0,0,99.59,0,28.9,0.48,0.67,2.96,1.79,9.42
120,0,0,23.66,0,5.52,142.11,40.29,0,0,38.26,0,0,1.85,0,0,35.28,0,0,0,8.93,0,0,21.66,830.34,0,6.6,1.28,0,3.27,0,1.12,0,42.22,0,14.7,1.19,0,0,0,0
