stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.7,12.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,16.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.67,0,16.83,0,0,10.17,0,0,0,0,6.59,0,0,0,0,0,0,0,0,0,52.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.22,12.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.04,0,0,0,21.37,0,0,11.03,0,4.87,0,3.51,0,0,0,0,0
 14-21,0,0,0,0,17.27,1.06,4.42,0,0,0,0,0,0,0,1.62,0,0,0.81,0,0,0,21.79,4.61,0,2.18,1.18,0,0.89,0,5.19,0,0.95,1.18,0,0,3.51,0,0
 24-34,0,0,0,0.7,4.22,0,2.13,12.71,0,1.33,0,0,0,0,0.64,0,0,4.44,0,0,6.59,216.21,0,19.66,4.34,0,0,1.86,0,0,0,0,15.39,0,0,7.58,0,0
 36-46,0,0,0,0,1.51,0,19.22,0,0.87,2.64,0,0,0,0,0,0,0,2.12,0,0,0,570.6,1.62,25.79,2.65,0,0,1.13,0,0,0,0,56.67,0,0,4.81,0,0
 48-58,0,0,0,0.43,6.11,0,57.35,10.1,0.5,5.96,0.85,0,0,0,0,0,0,13.92,0.42,0,0.59,1261.27,0,20.66,2.19,0,0,1.6,0,0,0,0,77.23,0,0,3.81,0,0
 60-70,0,0,0,0,11.73,0,165.31,0.94,0,19.76,0.77,0,0,0,0,0,5.16,36.47,0,0,1.92,1758.84,0,27.91,1.74,0,0,1.77,0,0,0.63,0,194.73,0,1.46,0,0,0
 72-82,0,0,2.03,0.64,5.46,1.43,448.3,0,3.52,14.74,4.26,0,1.5,0,0,5.83,0,55.13,0,0,1.87,2727.89,0,51.11,15.55,0,0,1.03,0,0,0,0,174.89,0,0.66,2.31,0.81,0
 84-94,0,0,6.88,1,38.01,0,381.54,0.71,1.44,29.73,0,0,0,0,0,0,0,45.81,0,2.04,0.84,1889.73,0,47.02,1.31,0,0,1.55,0,0,1.44,0,70.2,0,1.64,1.39,4.91,0
 96-106,0,0,5.3,0,19.41,0,320.26,0,1.92,30.7,4.14,0,0.58,1.48,4.05,0,2.21,41.77,0,0,9.1,1663.13,0,73.36,3.09,0,2.4,9.9,0,0,0,0,69.52,0,0,5.5,0.63,8.74
108-118,0,0,1.03,1.08,23,2.21,491.65,0,1.19,32.07,2.37,0,0,0.69,0,1.75,0,57.67,0,1.15,8.23,1768.91,1.35,58.3,3.03,0,0,5.14,0,0,0.42,0,47.93,0.5,0,1.41,4.03,0
120,0,0,0,0,42.07,0,281.27,4.94,0,46.14,0,0,0,0,2.86,1.01,0,42.09,0,16.09,0,2434.82,0,105.63,1.05,0,0,5.92,0,0,0,0,52.1,0,0,4.04,0,0
