stage,epidermis,eye,glial,gut,ionocyte,liver,mesenchyme,mucous,neural,periderm,presomitic.mesoderm,pronephros
 14-21,0,0,0,0,1.09,0,0,0,0,0,0.86,0
 36-46,0,0,0,0,2.91,0,0,1.16,4.76,1.6,0,0
 48-58,0,0,0,0,4.22,0,0,0,0.86,2,0,0
 60-70,0.69,0,0,0,0,0,0,0,0,2.37,0,0
 72-82,1.32,0,0.7,0,11.9,0,0,0,7.21,0,0,0.63
 84-94,0,1.76,9.01,0,7.24,0,0,0,2.65,15.65,0,0
 96-106,2.61,0,0,0,4.74,1.99,0,0,0,25.29,0,0
108-118,2.9,0,0,0,16.86,0,0,0,0,9.56,0,0
120,0,0,0,8.33,0,0,1.98,0,5.93,10.33,0,0
