stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.7,100.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,40.67,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,13.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.05,0,0,1.16,0,0,0,0,0.85,0,0,0,1.77,0,0,0,0,0,0,0,2.91,6.49,2.35,0,0,1.94,0,0,0,2.14,16.23,6.3,2.39,0,0,0,0,0
 24-34,0,0,0,2.43,0,0,0,2.37,0,0,0,0,0,1.18,0,5.72,0,0,0,0,5.38,0,0,12.22,33.89,2.24,1.4,3.12,0,0,0.83,0,3.94,53.23,4.55,13.14,0,0,7.84,0,0
 36-46,0,0,0,2.23,0,0,7.19,23.25,0,0,1.48,0,0,3.3,0,0.56,0,0,0.85,0.86,2.93,0,0,5.13,45.63,0,2.08,0,0,0,0.91,0,0,105.07,0,5.68,0,0,0.92,0,0
 48-58,0,0,0,1.47,0,0,26.43,15.85,0,0,9.57,0,0,1.04,0,0,2.49,0.49,8.28,0,25.56,3.76,0,5.11,97.42,0,2.79,0,0,0,9.73,0,0,131.68,0,30.88,0,0,2.32,0,4.61
 60-70,0,0,0,15.76,0,0,31.18,18.82,0,2.28,33.14,0,0,0,0,1.79,0.67,0.79,0,3.16,47.76,1.27,3.82,12.7,102.77,0,1.44,0,0.81,0,7.59,0,0,67.04,0,35.3,0,0,0.6,0,0
 72-82,0,0,0,2.76,30.48,0,49.1,13.16,0.51,0.67,28.05,0.66,0.59,2.7,0.65,2.05,5.23,0.95,0,0,75.71,0.83,1.04,19.36,128.08,1.28,2.33,0.66,0,0,1.68,0,0,53.12,0,13.21,0,1.03,6.22,3.26,3.54
 84-94,0,0,2.8,2.87,7.37,0,33.26,23.46,0,1.52,38.86,1.44,0,0,1.36,4.14,2.74,0,1.43,0,44.3,1.27,4.01,8.05,65.9,1.52,1.31,11.62,0,0,8.21,0,0,93.67,0,17.13,1.01,2.66,7.48,3.61,8.94
 96-106,0,0,1.23,10.12,23.91,2.87,61.02,22.37,0,2.38,29.81,2.9,0,1.39,0.85,1.34,7.56,1.93,14.18,0.67,72.79,2.03,0,9.88,110.83,0.81,4.03,3.37,0,8.68,2.32,0,0,72.99,0,11.34,0,4.93,8.69,1.58,16.18
108-118,0,0,0,6.9,32.63,0.91,36.49,28.7,0.7,5.68,24.89,0,0,1.8,0,0.44,15.84,0,6.75,0.66,88.04,0.52,2.19,10.26,116.59,0.59,0.7,12.12,0,0,8.64,0,0.72,66.12,0,10.83,0,0.5,11.72,1.48,4.86
120,0,0,0,6.62,16.44,0,33.36,6.42,2.23,3.48,10.96,7.43,0,1.85,0,0,0,0,7.88,1.79,42.45,0,0,41.09,182.88,0,0,20.58,0,0,3.86,1.12,0,38.92,0,6.25,0,0,1.84,0,0
