stage,epidermis,exocrine.pancreas,eye,glial,gut,immune,mesenchyme,neural,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,1.73,0
 24-34,0,0,0,0,0,0,0,1.62,0,3.59
 36-46,0,0,0,0,0,0,0.65,18.03,1,0
 48-58,0,0,1.63,0,0,0.47,0.78,13.47,0.87,0
 60-70,0,0,0,0,0,1.47,0,9.96,1.68,0
 72-82,0,0,2.59,0,0,0,2.29,6.35,1.59,0
 84-94,0,0,0,0.9,0,5.04,1.65,18.94,1.68,0
 96-106,0,0,0,0,0,13.36,0,2.08,0,0
108-118,1.57,3.16,9.61,0,0.78,10.57,0,10.12,0,0
120,0,0,0,0,0,35.05,0,6.93,0,0
