stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,185.76,5463.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.77,0,0,0,0,0,0,0,0
  5-6,99.68,1458.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.46,0,0,6.9,20.96,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.07,0,0,0,0,9.05,0,0,0,0,0,0,0,43.59,20.63,0,28.75,0,0,0,0,0,0,0,0,0
 10-12,0,17.68,0,12.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.75,20.63,0,68.86,0,0,3.29,0,0,0,0,0,0
 14-21,0,0,0,0,13.38,0,7.9,0,0,0,1.08,0,0,0,0,8.13,0,0,2.93,33.69,0.87,0,0,1.54,19.91,0,1.65,9.48,12.18,0,0,0
 24-34,0,0,0,0,0,8.3,1.67,0,0,0,0,0,0,0,0,1.06,0,0,0,11.75,0.64,0,0,2.84,0,0,0,0,5.93,0,0,0
 36-46,0,0,0,0,1.12,0,1.86,0,0,1.23,0,0,0,0,0,2.76,0,0,0,10.77,0,0,0,9.79,0,0,0,0,1.57,0,0,0
 48-58,0,0,0,0,0,1.45,0,2.11,0,0,2.57,0,0,0,0,1.26,0,0,0,3.07,0,0,0,3.1,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,6.5,0,0,0,0,0,0,0,0
 72-82,0,0,1.09,0,0,0.67,3.86,0,0.51,1.68,0.86,0,1.19,0,0,2.15,0,1.91,0,5.09,0,1.37,0,2.97,0,0,0,0,0.75,0.49,0,0
 84-94,0,0,0,0,0.83,0.62,1.76,0,0,0,2.18,0,2.74,0,0,3.34,0,0,1.13,3.58,0,0,0,2.5,0,0,0,0,0.61,0,0.55,0
 96-106,0,0,0,0,1.33,3.39,0,0,0,0,0.6,0,1.6,0,0,0,2.76,0,0,0,0,1.76,0,3.58,0,0,0,0,0,0,0,0
108-118,0,0,0,0,3.18,4.06,1.89,0,0,0.69,0.91,0,2.02,0.76,2.44,0.64,0.94,4.58,0.6,2.19,0,0.43,0,5.95,0,0,0,0,0.7,0.99,1.27,7.58
120,0,0,0,0,2.75,0,0,0,0,0,9.34,0,7.08,0,0,0,2.14,0,0,1.34,1.94,0,0,9.35,0,0,0,0,0,0,0,0
