stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.82,0,3.39,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.84,4.48,0,0,2.09,0,6.08,0,0
 24-34,0,0,0.6,0,0,0,0,0,0.64,0,1.24,7.59,0,0,0,0.78,3.96,0,0
 36-46,18.58,4.5,0,0,0,0,0,4.54,9.08,0,0.7,7.61,0,0,1.57,4.12,1.48,0,0
 48-58,0,0,0,0,0,6.14,0,0,2.18,0,0,46.85,0,0,1.18,0,5.32,0,0.53
 60-70,0.62,0,6.19,0,0,0,0,0,2.21,0,0,23.75,0,0,0,0,11.89,0,0
 72-82,0,0,28.99,0.71,0,1.28,0.97,0,3.61,0,0,72.5,0,0,1.97,0,7.98,0,0
 84-94,0,0,47.91,0,1.14,0,0,0,2.03,0,0,41.24,0,0,0,0,6.04,1.81,0
 96-106,0,0,14.6,0,0,0.88,0,0,6.42,0,0,46.23,0,0,1.32,0,3.31,0,0
108-118,0,0,17.44,0.45,0,0,0,0,9.6,0.45,0,69.07,0.9,0,0,0,3.24,0,0
120,15.08,0,25.54,0,0,0,0,0,0,0,0,163.64,0,0,0,0,12.5,0,0
