stage,epidermis,eye,glial,neural,olfactory,periderm,spinal.cord,vascular.smooth.muscle
 24-34,0,0,0,8.22,0,0,4.57,0
 36-46,0,0,0,17.68,10.07,0,2.41,0
 48-58,0,0,2.4,16.62,0,0.56,1.48,0
 60-70,0,4.5,1.3,13.94,0,0,1.08,0
 72-82,0,3.1,0,31.19,0,0.7,0,0
 84-94,0,0,5.04,26.15,0,7.94,0,0.68
 96-106,0.79,0,1.94,17.52,0,3.16,0,0
108-118,0,0,0,24.88,0,5.25,0,0
120,0,0,0,15.85,0,0,0,0
