stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,36.79,1553.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.89,0,0,0,0,0,0,0,0
  5-6,86.1,1554.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0,0,0,31.8,0,0,0,0,0,0,0,0
  7-9,7.9,6.63,11.89,0,0,0,50.8,0,0,0,12.06,0,0,0,0,0,0,0,507.18,26.71,0,0,119.58,0,3.47,0,0,0,0,0,0,0
 10-12,0,15.55,5.98,0,0,0,18.81,0,0,0,7.05,0,0,0,0,0,0,0,227.36,6.53,0,0,104.42,0,0,0,14.21,0,0,0,0,0
 14-21,0,0,0,5.02,0,0,3.68,0,0,0,0,0,0,0,0,0,3.66,1.56,37.23,2.55,0,1.1,1.93,0,0,1.65,0.87,0.88,3.03,7.71,0,0
 24-34,0,0,0,0,0,0,1.43,0,0,0,0,0,0,0,0,0,1.58,2.61,48.04,0,0,0,0,3.48,0,0,0,0,0.88,7.94,5.36,0
 36-46,0,0,0,0,0,0,5.9,0,0.81,0,0,0,0,0,0,0.86,6.57,0,50.24,0,1.97,0,0,5.74,0,0,0,0,0,8.48,0,0
 48-58,0,0,0,0.37,0,0,26.43,0,2.83,0.56,0,3.2,0,0,0,0,6.78,0,46.6,0,1.12,0,0,0,0,0,0,0,0,12.62,1.94,0
 60-70,0,0,0,0,7.59,0,28.82,0,1.27,0,0,0,1.27,0,0,0,1.43,0,45.03,0,0,0,0,5.76,0,0,0,0,0,3.14,0,2.87
 72-82,0,0,0,0,0,0,16.52,0,3.43,0,0,0,2.31,0,0,0,9.31,0.49,24.81,0,0,0,0,0,0,0,0,0,0,0.84,0,0
 84-94,0,0,0,0.61,1.46,0,14.36,1.28,4.73,0,0,0,0,0,1.28,0,18,0,20.72,0,0,0,0,0.59,0,0,0,0,0,4.11,0,0
 96-106,0,0,0,1.98,2.34,0,6.71,0,2.49,0,0,1.22,0,1.18,0,0,4.07,0,17.96,0,1.75,3.51,0,8.32,0,0,0,0,0,0,0,3.14
108-118,0,0,0,0,1,0.49,16.58,0,3.32,0,0,0,1.86,0,0,0,6.39,0,24.97,0,0,0,0,1.54,0,0,0,0,0,0,0,0
120,0,0,0,1.51,19.35,0,5.2,11.64,0,0,0,0,0,0,0,0,0,1.28,6.8,0,0,0,0,1.41,0,0,0,0,0,0,0,0
