stage,blastomeres,epidermis,eye,lateral.line,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord
  3-4,23.91,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.88,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,18.56,6.25,0,8.6,0,0,0
 10-12,0,0,0,0,0,0,0,0,8.64,0,0,0
 14-21,0,2.42,0,0,0,0,0,0,0,0,0,1.37
 24-34,0,0,0,0,0,2.77,0,0.94,0,0,1.26,0
 36-46,0,0,0,0.95,0,0.6,0,1.91,0,0,0,0
 48-58,0,0,0.64,0,0,4.01,0,2.26,0,0,0,0
 72-82,0,0,0,0,0,1.51,0,0.84,0,0,0,0
 84-94,0,0,0,0,0,1.54,0,0,0,0,0,0
 96-106,0,0,11.5,0,0,2.32,0,3.51,0,8.92,0,0
108-118,0,0,0.58,0,2.24,3.66,0,1.77,0,0,0,0
120,0,3.59,0,0,0,0,0,0,0,0,0,0
