stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,326.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.83,486.54,0,0,0,0,0,0,0,0,0,0,7.33,0,0,10.04,7.63,0,0,0,0,0,0
  7-9,7.47,20.2,11.6,0,0,39.36,0,0,26.83,0,0,0,261.11,0,0,74.17,0,0,0,0,0,0,0
 10-12,0,19.24,14.17,0,0,18.04,0,0,3.5,0,0,0,135.19,10.13,0,39.85,0,0,10.55,0,0,0,0
 14-21,0,0,0.9,2.79,1.18,2.66,0,0,0,0,3.21,0.93,48.41,0.96,1.54,0,0,7.21,0,1.65,6.59,12.85,0
 24-34,0,0,0,0.65,0,4.27,0,0.76,0,0,5.05,2.22,34.19,0,0,0,0,0,0,0,1.26,9.12,1.65
 36-46,0,0,0,0,0,5.82,0,0,0,0,0.57,1.4,19.2,0.57,0,0,0.62,0,0,0,0,5.39,2.53
 48-58,0,0,0,0,0,7.37,0,0.62,0,0,0.64,0,12.21,0,0,0,0.5,0,0,0,0,0.8,0
 60-70,0,0,0,0,0,2.62,0,1.92,0,1.41,4.78,0,16.37,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.62,0,3.06,0,0,1.29,0,1.72,0,0.67,0,0,0,0,0,0,1.8,0
 84-94,0,0,0,2.19,0,0,0,0,0,0,2.62,1.1,0,0,0,0,0,0,0,0,0,0.83,0
 96-106,0,0,0,0,0,1.57,0,1.13,0,0,1.65,3.95,1.62,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.76,0.71,0,0,0,0.71,0.42,1.19,0,0.79,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0
