stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,immune,melanocytes,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,vasculature,xanthophores
  5-6,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.41,0,0,4.3,0,0
 24-34,0,0.6,0,0,0,0,0,0,3.65,0,91.53,1.36,0,20.21,0,0
 36-46,0,0,0,0,5.62,0,1.69,0,0.72,12.29,243.34,3.23,0,32.94,0,0
 48-58,0,0,0.96,0,19.51,3.7,11.03,0,0,0,248.54,0,0,31.73,0,0
 60-70,0,0,0,0.96,36.91,0,45.09,4.47,0,0.6,189.45,0,0,22.07,0,0
 72-82,0,0,0,9.67,42.77,0.94,46.11,0,0.86,0,110.99,0,0,6.48,1.22,0
 84-94,0,0,0.9,5.74,12.16,3.06,88.9,0,0,0,84.03,0,2.08,7.44,0,0
 96-106,0,0,0,10.58,20.65,12.2,215.99,0,0,0,64.47,3.46,0,0,0,2.32
108-118,0,0,1.09,1.51,11.33,3.68,109.74,0,0.54,0,46.39,0,0,4.09,0.89,0
120,0,0,0,1.63,6.66,0,127.45,0,0,0,59.28,0,0,0,3.03,0
