stage,blastomeres,fin.mesenchyme,neural
  3-4,16.79,0,0
  7-9,0,0,3.92
 14-21,0,0,1
 24-34,0,0,11.22
 48-58,0,6.87,0.63
 72-82,0,0,5.62
120,0,0,13.64
