stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,47.01,174.01,28.78,23.14,0,0,0,0,1.19,0,0,0,0.81,0,0,0,1.26,46.62,0,0,22.23,76.95,0.95,0,40.23,0,9.07,1.8,6.57,6.12,0,53.63,8.27,0,0,4.92,0,0
 24-34,1.38,30.42,3.5,166.64,0,6.09,0,0,0,0,0,2.26,23.38,0,0,0,0,24.34,0.6,0,11.44,60.86,2.2,4.49,6.07,0,5.98,0,0,14.22,0,0.66,11.51,0,0,7.95,0,1.03
 36-46,0,9.94,1.65,408.15,0,12.32,2.6,2.2,0,0,0,0,0.61,16.17,0.57,0,0,20.32,0,0,3.39,81.4,1.6,0,2.82,0,6.3,0,0,4.94,0,0,35.58,0,0,14.1,0,0
 48-58,0,5.72,0,1261.98,0.58,28.26,1.6,9.42,0,0,0,0,0,0.38,0,0,6.91,20.03,0,2.05,2.37,91.6,0,1.06,1.62,0,3.94,0,0,7.89,0,0,15.54,0,0,6.01,0,16.03
 60-70,0,3.19,0,2458.35,0,22.82,0.85,27.16,0,0,0,4.74,0,0.66,0,0,0,21.16,0,0.76,0,69.86,4.83,0,0,2.4,23.67,0,0,8.85,0,0,19.34,0,5.48,2.93,1.32,27.81
 72-82,0,8.88,1.37,1363.36,0.55,16.21,2.33,9.08,0.53,0,1.41,3.99,0,0.49,0,3.56,1.96,18.79,0,13.63,3.1,59.69,1.06,1.11,0,0,2.63,0,0,11.86,0,0,15.67,0,8.15,6.28,3.36,4.44
 84-94,0,9.29,0,1669.52,1.69,31.61,1.2,6.89,0.98,0.64,2.32,4.25,0,4.7,0,0,4.08,48.22,0,20.25,5.35,58.72,0,0,3.83,0,8.88,0,0,21.73,1.15,0,12.26,0,7.76,8.72,16.84,6.81
 96-106,0,18.17,0,1309.25,0.86,32.77,0,6.15,1.56,0,2.35,13.72,0.57,0.76,1.51,0,0,40.59,8.51,27.43,6.95,62.18,0,2.09,2.42,0,1.46,0,0,28.69,0,0,3.94,0,0.75,12.44,40.63,3.31
108-118,0,10.5,0,944.63,0.46,74.61,0,8.02,1.39,0,0,7.42,0.8,9.62,0,0,1.95,32.26,0,21.06,7.5,55.76,0.41,1.69,0.91,0,7.69,0,0,10.58,0,0,4.73,0.41,1.98,2.34,10.08,12
120,0,18.57,0,817.1,0,103.78,5.02,0,0,0,8.95,10.03,0,1.87,0,0,0,60.99,3.43,78.82,10.25,103.54,0,0,0,12.2,8.8,0,0,10.18,0,0,0,0,0,10.89,0,0
