stage,blastomeres,erythrocytes,eye,glial,heart,immune,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,12.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.17,0,0,0,0,2.35,0,3.57,7.82,0,0,1.48,1.72,0,0
 24-34,0,0,0.66,0,0,0,1.32,0,0,61.54,0,0,0,11.97,0,0
 36-46,0,0,2.54,1.59,0,0,1.91,0,0,47.55,0.92,0,0,6.47,0,0
 48-58,0,0,1.7,0,0,0,1.27,0,0,45.36,0,0,0,3.83,5.53,0
 60-70,0,0,2.48,0,0.71,0,2.41,2,0,29.14,0,0,0,1.58,0,0
 72-82,0,0,6.77,1.26,1.33,0,7.74,0,0,13.26,0,0,0,0,1.21,0.71
 84-94,0,0,2.95,1.33,5.09,0,0.74,0,0,17.75,0,1.26,0,0,0.65,0
 96-106,0,0,0,0,0,0.71,3.57,0,0,23.18,0,0,0,0,2.24,0
108-118,0,0,2.26,1.57,0,0,4.38,0,0,13.41,0,0,0,0,1.92,0
120,0,0,0,0,0,0,21.47,0,0,12.32,0,0,0,0,0,0
