stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,71.6,631.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,80.52,914.94,0,0,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,37.36,0,0,0,8.03,0,22.84,0,0,0,0,0,0,0,0,0
  7-9,5.19,14.63,0,12.58,0,0,0,3.65,0,0,0,0,0,7.21,0,0,0,0,0,0,0,0,0,0,0,85.08,10.52,0,0,12.75,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.09,0,7.34,0,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.98,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.98,8.94,0,0,67.05,0,0,0,3.72,0,0,0,0,1.11,0,0,0,0,2.48,0,0,0,755.36,0,18.83,0,0,0,0,1.31,0.9,0.82,425.4,0,0,0,0,0
 24-34,0,0.83,4.78,0,6.47,0,0,260.7,0,0,0,10.46,0,0,3.89,0,2.12,0,0,0.76,2.43,22.37,0,0,5.51,3201.78,1.55,88.84,3.6,0,0,1.52,0,0,0,804.68,0,0,0.77,0,0
 36-46,0,0,0,0,12.63,0.7,0,370.88,0,1.39,0,47.46,0.61,0,0.84,0.63,0,1.21,0,7.99,32.86,23.91,0,0,0,5862.32,5.49,97.26,1.46,0,0,6.5,0.74,0,0.64,1237.23,0,0,3.24,0,5.26
 48-58,0,0,0,0.43,27.16,1.42,0,1223.86,1.4,6.41,3.36,145.79,0.91,0,0,3.87,0,0,2.61,0.43,20.35,50.74,0.59,2.69,9.79,7009.88,9.91,58.72,4.95,0,0.61,7.78,0,0,1.07,1172.3,0,0,4.59,0,25.72
 60-70,0,0,0.89,0,18.56,0,0,2484.58,1.12,0.82,0.68,127,0,0,0.7,0,0,0,0,0,10.02,52.93,0,3.24,1.92,7088.02,0,49.2,0,0,0,6.47,0,0.73,2.04,931.9,0,0,1.02,3.54,22.01
 72-82,0,0,6.62,0,35.89,3.09,0,2815.81,2.53,0.55,10.13,123.75,5.43,0,0,12.27,1.77,7.38,0.62,3.06,7.77,54.29,0,3.85,1.57,5636.16,3.63,92.78,5.92,0,1.4,8.51,0,0,0,538.64,0.5,2.76,0,11.1,9.09
 84-94,0,0,3.59,0,30.58,13.26,0,1890.83,0.69,0.63,1.09,133.07,0.99,1.48,1.55,0.59,4.79,7.61,0,10.1,13.93,61.2,0,3.37,5.98,4001.8,5.24,64.17,12.3,0,0,5.8,0,0,1.31,473.83,2.29,2.14,6.08,28.7,0
 96-106,0,0,10.83,0,30.35,7.66,0,1760.59,5.01,0.62,6.36,108.2,1.99,0,2.65,2.91,0.59,4.41,2.53,16.8,10.9,94.82,0,4.39,2.41,3062.8,0,127.37,9.74,0,0,13.43,0,0,0.71,153.53,0,11.68,5.62,19.05,10.48
108-118,0,0,6.53,0,27.36,9.44,7.59,1582.7,1.08,1.78,0.5,105.32,2.67,0,2.89,0.64,0,15.31,0.51,2.23,15.26,48.24,0,12.2,8.16,3529.56,0,76.59,11.73,0,0.91,1.87,0,0.94,0.96,149.95,0.89,0,4.82,15.45,1.03
120,2.82,0,11.35,0,49.8,19.6,0,1431.95,1.21,4.2,1.58,165.36,0,0,3.84,7.01,0,0,0,2.14,3.24,86.8,0,13.04,20.49,5112.7,2.55,137.66,10.39,0,0,13.29,0,0,0,220.26,0,1.56,12.75,13.67,3.85
