stage,blastomeres,erythrocytes,eye,immune,mesenchyme,neural,notochord,otic,spinal_cord,vasculature
  5-6,7.03,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.53,0,0,0
 14-21,0,8.76,0,0.89,0,0,0,0.94,0,4.84
 24-34,0,0,12.71,0.77,0,0,0.68,0,1.79,0
 36-46,0,0,9.74,9.05,0,3.77,0,0,0,0
 48-58,0,0,13.17,1.07,0,1.12,0,0,0,0
 60-70,0,7.97,5.35,2.18,0,3.96,0,0,0,0
 72-82,0,4.85,6.76,6.86,1.47,1.11,0,0,0,0
 84-94,0,2.5,0,10.25,0,0,0,0,0,0.61
 96-106,0,18.02,0.56,16,0,0,0,0,0,0
108-118,0,9.66,0,13.75,0,1.3,0,0,0,0
120,0,5.14,0,27.9,0,0,0,0,0,0
