stage,axial,blastomeres,eye,fin.mesenchyme,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  3-4,34.76,545.01,0,0,0,0,0,0,13.99,0
  5-6,12.9,289.72,0,0,0,13.76,0,0,0,0
  7-9,0,0,3.23,0,0,66.1,15.94,4.24,0,0
 10-12,0,0,0,0,0,7.37,4.1,0,0,0
 24-34,0,0,0,1.69,0.84,0,0,0,0,0
 36-46,0,0,0,0.89,0,0.65,0,0,1.57,0
 60-70,0,0,0,0,0.79,0,0,0,0,0
 72-82,0,0,1.84,0,0,1.41,0,0,0,0
 84-94,0,0,2.4,0,1.22,0,0,0,0,0.65
 96-106,0,0,0,0,0,0.85,0,0,0,0
108-118,0,0,0,0,0,1.52,0,0,0,0
120,0,0,1.17,0,0,0,0,0,0,0
