stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,heart,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,xanthophores
  3-4,23.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.92,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,1.42,0,0,0,0,0
 24-34,0,0,0.87,3.72,0,0,0,0,0,3.42,0,0,6.36,4.77,0,0,0,0,0,1.55
 36-46,0,0,1.6,0.56,0,0,1.06,0,0,13.39,0.84,0,4.24,5.54,0.82,0,2.12,0,0,0
 48-58,0,0,0.39,3.35,0.47,0,0,0,0,10.51,0.6,0.69,2.81,1.74,0,0,0,0,0,0
 60-70,0,0,6.2,19.57,0,0,0,0,0,25.9,0,0,4.85,2.86,0,0,0,0,0,0
 72-82,0,0,0,16.23,0,5.54,0,0,0,15.35,0,0,3.45,8.47,0,0,1.06,0,0,0
 84-94,0,1,0,4.59,0,5.62,0,9.47,0,17.79,0,2.5,6.97,0,0,0.73,1.97,0,0,0
 96-106,0,0,0,7.03,0,9.09,0,2.69,0,14.49,0,1.48,3.67,8.16,0,0,1.14,0,2.52,0
108-118,0,0,0,11.32,0,2.72,0,25.82,0.52,33.94,0,0,5.66,5.05,0,0.62,0,1.24,1.71,0
120,0,0,0,2.16,4.21,2.42,0,1.91,0,32.9,6.84,0,8.83,0,0,0,0,0,0,0
