stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,iridophores,lateral.line,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,13.11,0,3.33,0,0,0,0,0,0
 14-21,0,0,0,0,2.43,0,0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.83,0,9.64,0,0,0,1.78,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.45,0.71,12.27,0,0,0,0.63,1.7,0,0,0
 48-58,0,0,0,0,0,0,0,1.56,0,0,0,0.41,0,4.59,0,0,0,0.62,0,0,0,0
 60-70,2.94,0,0,0,1.22,0,3.49,4.87,0,0,0,0,0,12.59,1.03,0,0,1.39,0,0,0,0
 72-82,9.17,5.38,0,0,5.63,3.99,4.62,10.03,0,0,0,0.51,0,9.57,0,0,0,9.38,3.83,0,0,0
 84-94,13.37,0,0,0,3.5,0,0,24.59,0,0,2.58,2.17,0,4.52,0,0,0,13.66,2.28,1.46,1.91,0
 96-106,6.07,0,7.87,0,0,0,1.5,30.38,0,1.76,0.6,0.99,0,21.68,0.94,0,0,5.44,1.89,0,0,2.29
108-118,1.61,0,0,0.5,1.06,0,3.05,50.68,1.37,0,0,4.43,0,18.18,0,0,0.42,13.42,0,1.29,0,0
120,0,0,2.24,0,0,0,0,36.21,0,0,3.84,0,0,8.7,0,0,0,11.8,0,0,0,0
