stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,296.11,4414.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372.93,0,0,0,0,0,0,0,0,0,0
  5-6,126.41,1669.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.35,11.17,0,0,0,0,444.53,0,0,0,0,0,0,0,0,0,0
  7-9,12.84,16.73,0,19.22,0,0,0,3.39,0,0,0,0,0,9.74,0,0,0,0,0,0,0,0,0,0,0,293.68,0,0,0,100.71,0,727.76,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.13,0,0,0,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.53,0,0,0,54.12,0,204.95,0,3.39,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,1.44,27.73,2.51,0,4.51,0,0,0,1.25,0,0,0,0,28.26,0,0,0,0,1.83,12.97,0,0,47.52,16.53,0,0,0,0,3594.59,6.01,0.87,0,0.8,11.67,0,0,0,0,0
 24-34,0,0,0.97,1.18,16.61,2.46,0,11.09,0,2.94,0,3.2,4.78,9.02,0.92,3.83,17.75,0,0,0,2.96,24.9,47.74,0,10.79,301.62,0.62,31.98,5.14,0,0,5171.01,0,0.82,0.82,1.54,23.15,0,0,9.72,0,0
 36-46,0,0,0,0,20.88,0,0,21.44,1.41,30.4,0,9.65,5.62,0,1.05,0,4.27,0,0,0,0,12.48,64.74,0,7.46,195.54,1.28,23.5,0.82,0,0,6329.55,0,1.65,0,0,28.44,0,0,2.36,0,0
 48-58,0,0,0,0,69.68,0,0,70.67,0,57.63,0,19.99,1.7,0,0,0,5.91,2.73,0,6.37,2.55,19.35,32.73,0,2.51,177.77,0,27.34,0.92,0,0.39,4757.84,0,1.07,0,0,44.22,0,0,0,0,0
 60-70,0,0,0,0,122.36,0,0,65.74,0,46.17,0,96.94,0.63,1.71,0,1.01,6.24,30.4,5.67,0.78,0,7.94,16.07,0,2.85,95.77,0,20,7.53,0,0,3629.22,0,6.41,0,0,20.7,3.13,0,0,0,0
 72-82,0,0,2.2,0.56,212.52,0.68,0,71.43,1.33,52.56,0,379.61,25.21,0,0,4.17,38.39,35.16,2.9,1.62,0,24.62,16.82,1.9,1.96,143.8,0,32.39,3.33,0,0,2494.63,0,0,0,0,13.73,21.52,0,6.4,4.01,0
 84-94,0,0,3.91,1.01,386.01,0.69,1.48,64.38,0,125.73,0,320.09,28.08,0.64,1.27,1.55,55.15,4.79,2.89,1.4,0,10.74,46.07,0,2.67,100.09,0,35.05,2.58,0,0,5668.77,0,0.67,0,0,0.68,22.99,0,0,0,0
 96-106,0,0,9.6,1.72,531.41,21.86,0,78.85,0,166.12,1.47,440.97,29.92,0,0,5.05,89.24,4.42,1.86,12.5,0,37.25,60.11,2.18,1.64,232.71,0,71.1,6.73,0,0,5928.83,0,1.6,0.69,0,5.04,23.69,4.94,4.46,1.08,2.89
108-118,0,0,3.72,1.37,414.04,9.93,0.51,46.04,0.64,219.3,1.04,461.69,26.71,0,0.89,0.42,108.35,5.33,4.55,1.67,0,37.69,64.24,12.37,3.65,148.94,0,29.16,2.41,0,0,4985.9,0,1.26,0,0,1.14,28.96,0,4.86,3.99,0
120,0,0,0,0,393.49,2.02,0,63.84,15.69,145.48,1.44,427.84,24.66,0,1.54,1.29,46.39,2.63,4.94,0,0,10.22,42.08,0,6.05,147.84,0,90.3,7.69,0,0,2684.01,0,7.38,0,0,5.96,6.8,0,9.88,4.69,0
