stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,99.05,2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.5,0,0,0,0,0,0,0,0,0,0
  5-6,116.97,1521.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.48,0,0,0,17.56,36.11,0,0,0,0,0,0,0,0,0,0
  7-9,33.58,19.23,0,26.12,0,0,0,186,0,0,0,10.73,0,0,0,0,0,0,0,0,0,0,859.35,41.49,0,0,294.08,0,22.91,0,0,0,0,0,0,0,0,0
 10-12,0,13.41,0,80.75,0,0,0,212.61,0,0,0,16.45,0,0,0,0,0,0,0,0,0,0,1087.16,28.44,0,0,291.6,0,18.43,0,41.48,0,10.71,9.29,0,0,0,0
 14-21,0,0,1.05,6.46,68.71,23.46,0,49.83,0,4.85,3.59,2.13,0,0,1.88,0,0,3.13,7.52,42.8,0,28.52,300.94,4.13,0.98,20.89,13.24,7.27,4.19,48.5,2.68,3.51,77.87,124.78,0,0,0.91,19.5
 24-34,0,0,0,0.79,8.37,1.54,0,28.08,0,3.76,0,0,0,0,0,0.85,0,0,0,9.65,0,6,80.99,1.33,1.31,9.88,0,7.21,0.86,0,0,0.67,1.48,35.82,0,0,10.43,6.8
 36-46,0,0,0,0.96,4.73,0.58,0,16.08,0,4.15,0,0,0,0,0,0,0,0,0,8.93,0.63,0,51.09,0.58,0,5.56,0,0,0,0,0,0,0,9.78,0,0,0,0
 48-58,0,0,0,0,0.82,0,0,25.62,0,3.74,0,0,0.94,0,0.39,0.39,0,3.61,0,7.19,0,9.4,37.81,0,1.51,1.64,0,1.58,0,0,0,0,0,2.86,0,0.44,0,2.6
 60-70,0,0,0,0,1.4,0,0,74.65,0,8.39,3.42,0,0,0,0,0,0.79,2.03,0,4.79,1.81,0,50.05,0,0,0.77,0,1.66,0,0,0,0,0,8.92,0,0,0,0
 72-82,0,0,0.54,0,0,0,0,69.1,2.82,1.95,1.37,0,0,0,0,0,0,1.79,0,7.8,0.78,0.86,30.97,0,0,2.06,0,0.57,0,0,0,0,0,1.51,0,0,0,0
 84-94,0,0,0,0,1.53,0,0,46.22,0.87,4.81,2.66,0,0,1.74,0.68,0.8,0,0,0,9.27,0,0,53.53,0,0,3.56,0,5.02,0,0,0.7,0,0,5.78,0,1.13,0,0
 96-106,0,0,0,0,0.57,0,0,27.29,1.29,2.4,1.1,0,0,0.75,0.73,0,1.85,1.65,0,8.74,0,0.77,23.52,0,4.45,0,0,0.57,0,0,0,0,0,3.21,0,0,0.65,0
108-118,0,0,1.4,0,2,0.54,1.2,8.39,0,3.35,1.19,0,0,0.43,0.47,0.44,0,1.58,0,2.22,0,0.51,39.95,0,3.11,2.24,0,10.62,0,0,1.28,0,0,0,0.9,0,0,0
120,0,0,0,0,0,0,0,12.72,3.12,0,6.2,0,0,0,3.85,0,0,0,0,2.9,0,2.12,44.44,1.37,1.11,2.38,0,0,0,0,0,0,0,1.19,0,0,0,0
