stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  5-6,20.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39,0,0,0,0.83,1.36,4,0
 24-34,0,0,0,33.69,0,1.01,0,0,0.83,0,0,3.48,0,54.98,0,0,0,0,0,4.54,0
 36-46,0,0,0,106.46,0,0.86,0,0,0,0,0,2.9,0,11.39,0,0,0,0,0,0,0
 48-58,0,0,0,54.69,0,2,0,0,0,0,1.45,0,0,19.52,0,0,0,0,0,2.71,0
 60-70,0,2.37,0,94.13,0,0,0,0,0,0,0,2.49,0,52.1,0,0,0,0,0,0,0.68
 72-82,0,3.22,0,98.61,0,0,0,0,0,0,1.07,1.66,2.8,18.71,0,0,0,0,0,0,0
 84-94,0,0,0,30.64,0,0,0,0,0,0,0,1.65,2.66,21.29,0,0,0,0,0,0.65,0
 96-106,0,0,4.86,22.68,0,0,1.04,1.07,0,3.99,0,0,3.22,9.61,0,0.65,0,0,0,0,0
108-118,0,0,0,24.7,7.65,0.56,0,0.64,0,0,0,0.79,0.5,14.84,0,1.98,0,0,0,0,0.94
120,0,0,0,27.42,0,0,0,6.2,0,0,0,0,0,0,11.19,0,0,0,0,0,0
