stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,hatching_gland,heart,mesenchyme,muscle,neural,paraxial_mesoderm,spinal_cord,vasculature,xanthophores
  3-4,9.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.24,0,0,0
 10-12,0,0,0,0,0,0,0,3.87,0,0,0,5.01,4.27,0,0,0
 14-21,0,0,1.67,2.62,0,0,0.85,0,0,0.84,2.03,0.81,0,0.9,0,0
 24-34,0,0,0,0.63,0,0,0,0,0,2.1,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0
 48-58,0,0,0,0,0,1.05,0,0,0,0,0,0.62,0,0,0,0
 60-70,0,0,0,0,0,0,0.56,0,0,0,0,3.23,0,0,0,0
 72-82,0,0,0,0,0,0,2.16,0,0,1.34,0,3.36,0,0,0,0
 84-94,0,1.16,0,0,0,0,2.22,0,0.8,0,0,0.74,0,0,0,0
 96-106,0,2.09,0,0,0,0,2.36,0,0,0,0,0,0,6.6,1.41,3.37
108-118,0,0,0,0,0.8,0,4.08,0,0,1.43,0,1.84,0,0,0,0
120,0,3.29,0,0,0,0,0,0,0,0,0,2.89,0,0,0,0
