stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,hatching.gland,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,10.16,0,0,0,0,0,0,0,0,0,0,0,0,12.25,0,0,0,0,0
  5-6,9.47,200.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.94,5.96,0,7.01,0,0,8.2,0,0,0,0,122.33,3.43,13.69,0,0,0,0,0,0
 10-12,4.89,13.19,0,9.05,0,0,0,0,0,0,0,46.36,0,13.71,0,0,0,0,0,0
 14-21,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,1.32,2.73,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.68,2.1,0,0,0,0,0,0,3.93,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,1.05,0,0,0
 48-58,0,0,0,0.95,0.4,0,0,0,0,0,0,2.01,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.87,0,0,0,0,0,0,0,22.34,0,0,0,0,5.93,0,0,0
 72-82,0,0,0,3.65,0,1.12,0,0,0,0,0,10.22,0,0,0,0,3.74,0,0,0
 84-94,0,0,0,4.19,0,0,0,0,0,0,0,6.26,0,0,0,0,0,3.4,0,0
 96-106,0,0,0,0,0,0,0,0,0.71,0,0,3.67,0,0,0,0,0,0,0,1.16
108-118,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,16.92,0,0,0,0,0,0,4.02,0,26.79,0,0,1.22,0,0,0,0,0
