stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1.27,28.61,0,0,0,0,0,1.42,0,0,0,0.83,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0,0,0,3.75,0,0,0,0,0,0,0,2.13,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,277.91,9.16,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,24.25,0,0,0,0,0,0,0,1.51,0,0,0,0,0,0,0
 72-82,0,0,0,10.3,10.18,2231.49,34.64,2.62,4.64,0,15,1.93,0,0,0.71,1.71,0,0,23.48,0,29.43,0,2.02,10.33,257.23,0.72,1.28,3.03,0,0,14.39,0,2.32,0,4.45,1.58,0,4.9,1.81,0
 84-94,0,0,0,0.57,8.76,1966.91,47.9,0,0,0,7.99,0,0,0,1.95,1.33,0.65,0,3.8,0,8.29,0,0,3.57,131.93,2.17,2.5,0,0,0,7.76,0,2.12,0,3.75,0,0,1.69,1.36,9.28
 96-106,0,11.52,2.06,178.31,218.35,32766.98,968.35,22.58,33.27,49.65,304.28,61.36,1.06,9.77,66.73,26.68,34.32,27.36,411.07,0,634.28,64.84,44.54,70.07,3212.58,10.44,58.58,36.68,1.2,19.41,386.43,7.21,21.36,2.77,93.58,13.22,9.48,136.18,38.16,90.88
108-118,0,9.69,0.98,271.71,205.84,88211.47,2488.32,18.56,47.24,55.9,534.67,57.87,0,13.12,56.9,23.23,54.46,10.41,261.73,55.97,988.6,57.25,63.09,80.06,5102.76,26.72,33.36,50.09,0,22.08,547.85,0,9.1,5.3,108.45,14.72,14.52,125.15,33.37,152.31
120,1.12,11.82,0,406.29,193.55,46625.96,1674.67,22.46,52.52,70.59,912.03,60.59,0,3.15,184.57,29.54,6.92,58.17,279.75,0,1467.83,7.73,123.33,114.63,6722.27,32.17,63.99,65.55,0,25.88,277.43,2.5,196.63,18.04,117.89,16.62,35.38,137.75,54.89,47.76
