stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.76,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.49,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.04,15.09,0,0,43.61,0,3.03,0,15.38,0,0,0,0
 14-21,0,0,5.99,0,7,3.17,2.42,0,0,191.88,0,0,0,0,0,11.68,0,0,2.03,247.63,12.35,7.3,43.3,7.91,0,3.89,1.93,160.55,0.88,569.38,0,0
 24-34,0,0,2.16,0,4.32,0,0.88,0,0,121.89,0,0,0,0,0.78,3.89,0,0,1.88,204.82,0.7,38.84,7.64,0,0,0,0,34.84,0,284.66,0,0.81
 36-46,0,0,0,0,1.16,0,5.4,0,0,72.16,0.72,0.93,0,0,0,0,0,0,0,177.35,0,60.5,1.55,0,0,0,0,22.72,0,167.57,0,0.59
 48-58,0,0,0,0,0,0,10.16,0,0.39,38.13,0,0,0,0,1.66,2.26,0.52,0,0,110.79,0,28.88,15.99,0,5.8,0,0,5.63,0,87.49,0,0
 60-70,0,0,11.16,0,1.02,0,11.85,1.08,0,30.81,0.63,0,0.66,0,5.7,3.98,0,0,0,120.35,0,42.64,13.75,0,0.59,0,0,1.72,0,64.08,0,0
 72-82,0,0,3.11,0,0,1.79,17.29,0,0,25.14,1.85,0,0,0.78,8.15,3.46,1.8,0,0.69,75.5,0,84.46,17.84,0,1.2,0,0,2.58,0,18.73,0,0
 84-94,0,0,3.95,0.59,0,0,14.22,0,0,38.27,9.55,0,0,0,9.74,2,0,1.19,0.91,57.7,0,98.58,19.33,0,0.55,0,0,10.87,0,28.28,0,3.21
 96-106,0,0,2.23,0.7,0,1.27,25.82,0.95,0,18.98,3.52,0,0,0,11.27,1.07,0,0,3.63,44.53,0,79.39,19.47,0,0,0,0,3.18,0,9.62,0,5.12
108-118,0,0,5.83,3.63,4.99,0,13.6,0,0.96,18.88,1.89,0,0,0,9.01,2.76,0,0,1.17,71.16,0,92.87,12.83,0,0,0,0,5.15,0,19,1.55,14
120,0,0,0,0,0,0,11.52,0,0,22.03,0,0,0,0,9.78,2.5,0,0,2.24,79.72,0,87.64,27.83,0,0,0,0,23.63,0,7.64,0,14.33
