stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,32.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,48.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.81,0,0,0,17.36,0,0,0,3.51,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.51,343.83,0,0,16.05,0,0.87,0,1.97,0,0,0,0,0,0,0,0,10.89,1.47,0,0.98,69.44,4.59,5.23,0,0.98,0,0,1.85,52.15,1.09,5.87,9.73,0,0,0,0,0
 24-34,0,0,0,2.66,684.28,0.81,0,30.11,0.67,44.62,1.21,16.23,2.99,0,0,0.64,0,12.52,0.74,0,31.27,3.23,0,8.74,266.9,0.95,10.48,3.55,0,0,0.71,0,75.27,0,0,52.21,0,0,1.51,0,0
 36-46,0,0,0,0.67,759.82,0,0,19.36,1.17,126.92,2.07,30.39,4.25,0,2.6,0.68,0,4.21,2.13,8.43,34.39,5.02,0,5.08,232.77,1.28,21.26,7.23,0,2.85,1.21,0,44.65,4.74,2.23,57.27,0,0,3.15,0,0
 48-58,0,0,0,0.44,536.09,0,0,70.51,4.32,178.61,1.5,58.24,9,0.63,0,0,7,8.05,4.37,6.79,39.15,3,1.28,1.22,240.49,10.61,9.65,18.55,0,0,1.3,0,26.11,0.55,0,42.42,0,0,1.05,0,2.26
 60-70,0.81,0,0,7.97,419.32,0,0,63.04,4,191.15,14.68,80.97,29.21,0,2.96,0,0,6.04,0,0,40.71,9.43,1.29,3.48,208.64,0,5.86,21.97,0,0,2.82,0,32.84,0,0,10.22,0.61,1.4,2.58,6.37,0
 72-82,0,0,1.14,1.12,347.74,5,0,91.72,0,154.02,8.04,109.08,36,2.48,0,4.54,0,7.15,0,0,97.84,3.19,7.65,6.1,263.46,0,10.73,49.18,0,0,2.53,0,26.75,0,0,34.54,0,7.7,4.32,14.57,0
 84-94,0,0,0,2.16,654.44,1.08,0,92.29,1.94,300.04,12.87,63.6,66.52,0,0.92,2.3,1.58,6.45,2.58,0,70.9,1.37,12.31,6.61,183.22,1.12,10.8,55.02,0,0,0.73,0,54.34,0,0,19.34,4.11,2.15,6.71,22.82,9.49
 96-106,0,0,2.04,0,563.77,0,0,107.51,0,267.64,8.14,59.96,34.88,0,0,7.15,0,5.91,10.72,0,57.72,9.78,12.97,1.72,248.24,0,28.25,29.93,0,0,8.37,0,37.14,0,0,15.06,3.13,4.85,2.59,20.23,0
108-118,0,0,0,0.93,604.88,0,2.65,85.65,2.46,430.97,9.04,71.68,27.27,2.35,1.94,12.4,1.33,11.77,0.52,0,75.92,7.33,25.17,1.44,224.76,0,14.14,33.4,0,1.95,5.68,0,38.22,0.86,0,6.21,4.33,4.34,11.8,35.39,0
120,1.12,0,0,0,420.28,0,0,54.31,0,238.52,25.9,114.8,3.81,3.84,0,0,0,19.44,0,0,45.59,8.66,29.61,5.56,273.05,0,9.72,44.97,0,0,9.11,0,34.47,0,0,9.75,4.12,1.56,7.68,58.96,0
