stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,57.26,690.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.05,287.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.56,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,4.46,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.44,0,14.98,0,0,0,0,0,0,0,0,0,8.15,0,0,0,0,0,0,0,0,0,0,0,101.47,0,0,0,5.62,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,3.53,2.05,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,4.33,0,0,0,0,2.13,27.74,0,0.85,0,0,0,1.07,3.56,16.05,0,4.35,2.68,0,0,0
 24-34,0,0,0.67,1.29,3.86,0,0,2.36,0,0,0,0,4.02,0,0,0,12.77,0,0.84,0.74,0,4.79,0.69,0,1.75,63.28,0,6.54,4.82,0,0,6.87,0,35.59,0,0,22.12,0,0.62,0
 36-46,0,0,0,0,0,0,0,7.55,0,0,0,0,0.66,0,0,0,6.11,0,1.36,0,0,6.36,0,1.32,0.65,215.69,0,11.42,1.13,0,0,26.4,0,13.7,0,0,29.79,0,0,0
 48-58,0,0,0,0,5.47,0,0,42.53,0,0,0,3.18,5.75,0.54,0,6.14,9.04,0,0.51,0,0,3.08,0.37,0,0,325.64,0,6.6,0.89,0,0,2.29,0,8.69,0,0,36.22,0,3.64,1.13
 60-70,0,0,0.89,0,0,0,0,132.56,0,0,0.86,3.12,7.54,0,0,0,2.37,0,6.1,0.72,0,12.08,0,0,0,504.08,0,6.67,0.59,0,0,3.17,0,14.09,0,0,64.65,0.84,1.12,0
 72-82,0,0,6.02,0,5.81,2.62,0.9,227.38,1.07,0.62,1.11,11.21,18.02,0,0,0.55,0.61,0,0.49,0.79,3.43,10.72,2.26,0,0,550.31,0,6.89,2.49,0,0,5.46,0,19.67,1.5,0,48.59,4.02,0,8.32
 84-94,0,0,8.19,0,2.02,0,0.56,198.79,0,0.6,0,14.7,21.88,0,0,0.65,2.13,0,0.73,0,0,3.03,0,0,0,390.83,0,4.35,5.69,0,0,8.1,0,12.73,0,0,33.36,9.67,0,0
 96-106,0,0,5.77,1.03,3.2,0,0.63,145.39,6.3,0,0,6.29,33.53,0,0,0.69,1.48,0,5.58,2.95,0,8.55,12.03,0,2.43,360.19,0,4.61,11.67,0,0,10.13,0,10.36,0,0,28.35,3.35,0,0
108-118,0,0,4.91,0.77,16.06,0,4.43,152.5,0,0,1.28,10.54,21.45,0,4.43,0.96,6.52,1.11,0.91,2.75,0,6.67,6.99,0,0.47,380.38,0.43,10.13,8.14,0,0,7.47,0,8.04,0,0,22.59,4.65,0,0
120,0,0,1.37,0,3.53,0,7.34,172.54,0,2.29,0,14.42,33.66,0,0,0,5.96,0,2.56,3.99,0,5.1,0,0,6.32,536.28,4.62,13.8,9.39,0,4.48,9.76,0,10.43,0,0,8.91,3.07,0,0
