stage,epidermis,eye,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,14.38,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,22.25,0,0,0,0,0,0
 14-21,0.88,0.96,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,3.17,16.24,0
 24-34,0,0,0,0,0,0,0,0,2.98,0,3.2,0,0,0,0,0,0,0,2.98
 36-46,0.9,0,0,0,0,0,0,0,0,0.56,6.08,0,0,0,0,2.25,0,0,2.69
 48-58,0,7.71,0,0,0,0,0,0,0,0,6.76,0,0,0,0,0,0,0,1.78
 60-70,0,21.11,0,0,0,0.63,1.1,0,0,0,15.3,0,0,0.84,0,0,0,0,0
 72-82,0,98.7,0,1.09,0,0,0,0.72,2.03,0,29.76,0.59,0,4.79,0,0,0,0,2.31
 84-94,0,74.78,0,3.77,0,0.61,0.61,0,5.03,0,21.83,3.87,0,0,0.75,0,0,0,1.86
 96-106,3.81,130.1,0,0,0,0,0,1.09,3.2,0,54.54,2.53,0,4.22,0,0,0,0,0
108-118,0.54,100,0,0.44,0.8,0,0,2.67,1.02,4.67,53.8,4.25,0,6.9,2.15,0,0,0,2.51
120,0,64.75,2.48,0,0,0,0,0,0,0,77.37,29.37,0,0,0,0,0,0,0
