stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2.35,24.79,5.59,12.98,0,0,7.98,0,1.11,0,2.13,0,0,0,17.96,0,10.41,233.39,3.18,1.73,0,2.19,9.55,15.7,21.68,49.58,1.14,0,0
 24-34,0,6.55,5.6,64.8,0,0,5.46,0,0.66,0,0.94,0,0,0,18.87,0,11.79,555.27,0,2.91,11.79,0,6.64,0,5.93,117.42,17.65,0,0
 36-46,0,0,1.01,84.91,0,0,6.98,0,0,0,5.76,0,0,0,11.88,0,8,298.68,0,0,2.08,0,4.91,0,0,70.94,0,0,0
 48-58,0,5.29,2.77,228.44,6.45,0,13.36,0,0,0,0,0,0.62,0,33.03,0.9,2.54,262.48,0,1.12,2.98,0,0,0,0,35.18,3.43,0,3.35
 60-70,0,13.37,0.71,92.79,4.81,0,3.4,0,0,0.63,0,2.09,0,1.06,30.33,1.78,0.68,136.99,0,1.22,0,0,2.93,0,0,2.03,0.89,0,0
 72-82,0,3.38,0,43.62,0,0.8,13.26,2.02,0,0,0,0,0.61,0,7.78,1.72,0.67,65.78,0,2.01,0,0,0.5,0,0,1.74,2.19,0,0
 84-94,0,0.59,3.7,41.44,0.63,0,8.34,0.9,0,0,1.17,0,0,0,25.36,3.15,4.23,56.53,0,0,0.74,0,0,0,0,0,5,1.07,0
 96-106,0,2.07,0,31.69,0,0,2.91,0,0,0,0,0,0,0,2.16,0,1.03,44.06,0,0,0,0,0,0,0,0,1.9,0,0
108-118,0,0.54,3.23,18.69,0,0,7.22,1.51,0,1.22,0,0,0,0,1.7,0,1.99,47.31,0,0,0,0,0.49,0,0,0.44,0,0,0
120,0,5.67,4.99,67.67,0,0,6.36,3.3,0,9.82,0,0,1.88,0,6.27,0,4.58,113.15,2.21,0,0,0,1.17,0,0,0,0,0,0
