stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vasculature
  5-6,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,16.87,6.18,0,0,0,0,0
 10-12,0,0,0,0,7.67,0,0,0,0,0,0,83.91,0,0,4.07,0,0,0
 14-21,0,0,2.07,0,0,0,0.84,0,0,0,0,4.13,0,0,0,1.28,2.74,0
 24-34,0,0,0,0,1.71,0,0,0,0,0,0,4.23,0,0,0,0,0.89,1.15
 36-46,0,0,0.92,0,0.96,0,0,0,0,0,0,3.74,0,0,0,0,0.67,0
 48-58,0,0,0,0,38.85,0,0,0,0,0,0,2.73,0,0,0,0,1.09,0
 60-70,0,0,0,0,130.18,1.41,0,0,0.72,0,0,5.08,0,0,0,0,0,0
 72-82,0,0.97,0,0,240.03,0,5.66,0,1.41,0,0.5,9.1,0,0,0,0,0,0
 84-94,0,0,0.56,0,169.27,0,0,0,3.16,0,0,9.65,0,0,0,0,0,0
 96-106,0,0,0,2.37,171.55,0,0,11.82,2.61,0,0,12.17,0,0.85,0,0,0,1.16
108-118,0,0,0,0,171.66,0,1.48,0,0,0,0,14.25,0,0,0,0,0,0
120,0,0,0,0,61.65,0,4.08,0,0,9.18,0,37.69,0,0,0,0,0,0
