stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.57,0,0,0,1.12,0,0,0,0,41.33,1.4,0,0,0,0,0,0
 24-34,1.6,0,1.21,3.57,3.84,0,0,0,7.43,0,0,0,0,0,0.62,2.42,0,23.91,127.24,0,1.36,0,0,0,1.54,3.08,0,100.28,9.02,39.34,0,0,1.79,0,0
 36-46,0,0,17.25,72.27,0,0,20.06,0,2.33,0,0,0,0,0,0,3.13,0,23.17,305.57,0,1.55,9.6,0,0,7.78,0,1.34,112.24,2.01,79.82,0,0,0,0,4.28
 48-58,0.6,0,43.85,48.58,0,0,3.97,0,9.09,0,0,0,0,0,0,9.48,1.64,11.49,605.05,0,0,0,4.77,0,4.84,0,0,86.02,0,78.09,0,0,2.58,0,0
 60-70,1.5,0.7,261.26,31.97,0,0,31.49,0,8.78,0,0,3.46,0,0,2.79,7.74,0,18.22,845.73,0,0,0,0,0,4.19,0,9.83,55.12,0,168.31,2.13,0,2.44,0,10.13
 72-82,7.13,0,710.63,29.06,0,0.82,62.98,0,0.81,0.67,0,0,0,0,0,7.42,4.32,15.55,1063.99,0,1.42,0,0,0,0,0,0,21.52,0,86.9,0,0,1.51,0.91,0
 84-94,4.57,3.96,437.64,44.72,1.35,0,40.32,0,3.35,0,1.25,1.53,0,1.67,0,22.54,0,14.17,643.41,0,0,0,0,0,2.3,0,0,34.52,0,44.94,0,1.28,2.72,0.77,0
 96-106,8.21,29.07,365.84,55.49,0,2.37,89.98,1.38,4.63,1.1,0,0,2.47,0,8.71,28.77,0,9.21,667.56,0,1.58,0.6,0,0,9.51,0,0,31.26,0,5.38,0,0,0,0.8,0
108-118,3.9,8.65,457.04,42.24,0,4.07,95.48,2.47,6.92,4.41,0,1.71,0,1.31,0,11.19,0,25.65,726.81,3.17,0.55,0,0,0,5.23,0,0.51,43.14,0,26.62,0,0,2.32,0,3.85
120,5.42,3.49,779.57,75.05,0,18.66,198.96,0,0,0,0,3.09,0,0,0,21.3,0,26.95,1199.12,4.05,0,1.51,0,8.63,1.43,0,0,15.02,0,40.72,0,0,0,0,0
