stage,blastomeres,epidermis,eye,fin.mesenchyme,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  5-6,13.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.57,0,6.59,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,5.29,0,0,0,2.9,1.01,1.15,0,0
 24-34,0,0.88,1.33,0,0,0,0,0,0,0,0,5.48,0,0,0,0,0,0,2.35,0
 36-46,0,0.69,0,0,1.2,0,0,0,1.51,0,0.63,0,0,0,0,0,0,0,2.09,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,1.42,0,0,0,0,0,0,3.73,0
 60-70,0,0,4.32,0,0,0,0,0,0,0.66,0,4.2,0,0,0,0,0,0,2.22,0
 72-82,0,0,1.71,0,0,0,0,0,0,0.73,0,8.29,0,0,0,0,0,0,0,0
 84-94,0,0,3.33,0,0,0,0,0,0,1.87,0,3.83,0,0,0,0,0,0,0,0
 96-106,0,0.7,0,0,0,1.45,0,0,0,4.7,0,3.87,0.57,0,5.44,0,0,0,0,0.89
108-118,0,0,1.67,0.53,0,0.42,0.42,0.45,0,0,0,6.23,0,0,1.15,0,0,0,0,0
120,0,0,0,0,0,1.69,0,0,0,0,1.1,17.58,0,0,0,0,0,0,0,0
