stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,32.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,34.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.88,0,0,0,0,29.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.67,14.86,0,0,22.19,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.78,0,0,0,0,78.63,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,175.1,9.25,0,0,43.69,0,0,0,3.37,0,0,0,0,0,0,0
 14-21,0,0,0,60.31,0,4.96,0,0,0,0,0,0,0,0.81,0,0,3.16,0,20.22,0,0,7.53,56.25,2.52,0,0,1.71,0,1.8,15.85,1.93,3.73,12.61,20.86,0,3.05,0,0
 24-34,0,0,0.62,47.86,0,6.76,1.64,0.84,1.57,0,0,5.96,1.47,0,0,0,9.23,0.62,34.14,0,0,22.26,96.55,3.44,0,0,0,0,1.53,0,14.44,0,4.73,14.04,0,11.25,0,0
 36-46,0,0,0,23.51,0,6.25,0,5.42,3.47,0.82,0,0,0,0,0,0.81,12.81,4.8,51.03,0,0.83,17.46,59.64,0.86,0,1.4,0,0,3.94,0,9.42,0,0,7.55,0,5.33,0,0.67
 48-58,0,0,0,13.24,0,6.49,1.06,5.09,9.06,0,0,0.47,1.49,0,0.43,0,2.1,7.5,39.5,0,1.04,10.94,23.13,5.65,0.58,1.09,0,0,0,0,12.64,0,0,3.21,0,8.77,0,0
 60-70,0,0,0,7.76,0,7.38,0,0,15.06,0,0,0,3.4,0,0,0,1.41,0,32.64,0,0,4.42,10.39,2.21,0,0,0,0,0,0,2.45,0,0,0,0.71,1.83,0,0
 72-82,0,0,0,3.63,0.62,20.1,0,0,7.31,10.99,0,1.71,1.36,0,2.2,0,7,0,27.54,0,2,9.36,49.21,0.88,0,0.71,0,0,0,0,14.97,0,0,13.9,0.49,4,0.64,0
 84-94,0,0,1.04,7.75,2.87,5.25,1.8,9.48,2.39,5.84,0,0,11.72,0,3.85,0,33.79,0,52.24,0,3.23,10.81,27.8,4.91,0,2.15,0,0.83,0,0,18.87,0,0,1.25,0,6.66,0,0
 96-106,0,0,0,4,0,16.06,1.17,0,7.88,12.07,0,2.92,6.99,0,1.25,0,27.2,0,27,0.76,3.21,8.13,16.74,0,0,0,0,1.16,0,0,17.83,0,0,0.95,0.76,8.24,1.69,0
108-118,0,0,0,6.34,0,2.58,0,0,7.57,9.53,0,0,2.96,0,1.9,0.49,19.82,0,43.37,0,0.98,6.26,30.68,0,0,0,0,1.07,0,0,12.64,0,0,0,1.37,4.03,0,0
120,0,0,0,4.94,0,3.22,0,1.85,2.63,16.5,0,13.82,25.81,0,0,0,21.1,0,44.54,0,0,0,52.92,0,0,0,0,5.9,1.13,0,11.25,0,0,0,0,4.8,0,0
