stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature
  7-9,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,13.48,0,0,5.27,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.38,0,0,0,0,0
 24-34,0,0,0,0,0.63,0,0,0,0,0,0,0,2.69,2.37,0,0,31.44,0,0,0,0,0
 36-46,0,0,0.91,0,0,0,0,0,0,0,0.59,0,12.25,0,0,0,43.51,1.05,0.6,4.9,0,0
 48-58,0,0.49,0.43,0,0.4,0.79,0,0,0.39,0.37,0.57,0,21.43,0,0,0,46.29,7,0,3,0,0
 60-70,0,2.35,4.72,0,1.83,0,0,0,0,0,2.31,0,16,0,0,0,70.11,0,0,0,0,2.13
 72-82,0,7.72,3.88,0,0.56,0,0,0.64,1.21,0,2.11,0,10.01,0.74,0.56,0,44.44,0,0,1.7,0,0
 84-94,0,20.53,5.11,8.29,0.68,0,0,2.67,0.74,4.77,10.05,0,2.5,0,0,0,152.8,0,0,2.17,0,0
 96-106,0,22.18,17.83,0,1.92,0,0.7,1.49,0.63,0.76,3.66,0,10.4,0,0,0,145.74,0,0,0,0,0
108-118,0,18.46,9.66,0,2.63,0,1.92,2.87,4.07,0.47,7.73,0,2.1,0.65,0,0,92.65,0.64,0,0,0.71,0
120,0,34.11,0,0,6.3,0,0,0,2.26,0,9.37,1.04,3.47,0,0,0,111.96,7.79,0,0,0,0
