stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste
  3-4,92.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.72,0,0
  5-6,61.08,0,0,0,0,0,0,0,0,0,0,0,0,19.92,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,0,0,3.74,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,38.01,0,0,21.97,0,0,0
 14-21,0,0,0.94,1.01,0,0,0,0,0,0,0,2.99,0.9,6.18,0,0,0,3.57,1.93,0
 24-34,0,0,0,0,0,0,0.67,0,0,0,0,0,0,16.51,0.61,0,0,1.38,1.66,0
 36-46,0,0,0,3.03,0,0,0,0.57,0,0,0,0.92,0.73,7.64,2.14,0,0,10.31,4.99,0
 48-58,0,0,0,2.71,0,1,0,0,0,0,0,0.43,0,9.5,0,0,0,0,1.85,0
 60-70,0,0,0,3.23,0,4.13,0,0,0,0,0,1.8,0,7.12,0,0,0,0,1.95,0.81
 72-82,0,0,0,11.93,0,1.77,0,0,0,0,0,2,1.81,6.41,0,1.54,0,0,2.18,0.88
 84-94,0,0,1.22,2.26,0.55,0,0,0,1.18,1.16,0,3.19,0.69,3.43,1.26,1.86,0,2.29,0.99,0.9
 96-106,0,0,0,2.7,0,0.71,0,0,0,0,1.14,0,0,8.98,0,0,0,0,0,1.55
108-118,0,2.05,0,2.77,0,1.96,0,0,0,0,0,0.58,0.42,16.01,0,0.57,0,0.5,0,0.42
120,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0
