stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,6.56,14.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.43,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.27,0,0,0,8.55,3.89,0,0,0,0,0,0
 10-12,0,5.09,0,0,0,0,0,0,0,0,0,16.09,0,0,0,0,0,33.91,0,0,0,26,0,0,0,0,0,0,0
 14-21,0,0,0,2.14,0.82,0,1.59,0,0,0,0,0,0,0,0.9,0,2.01,9.28,0,0,0,0,103.39,0,4.02,2.07,0,0,0
 24-34,0,0,0,1.97,0,0,3.35,1.83,0,0,0,0,0,0,0.72,0,0,39.69,0,1.38,0,0,219.3,0,0,10.31,0,1.49,0
 36-46,0,0,0,0.89,0,0,4.28,0,0,1.42,0.58,0,0,1.93,0,0,0,54,0,0,0,0,365.43,0,0,6.6,0,0,0
 48-58,0,0,0,1.65,0,0,14.16,0.85,0,6.81,0.38,0,0.38,0,2.1,5.33,0,52.41,0.56,2.18,0,0,163.32,0,0,2.5,0,0,4
 60-70,0,0,0,4.89,0,0,19.03,0,0,1.71,0,0,0,0,15.17,0,0,23.58,0,0,0.94,0,190.03,0,0,1.73,0,0,0
 72-82,0,0,0,8.45,0,0,7.63,0,6.78,2.5,0,0,0,1.3,1.06,1.8,0,43.46,0,0.74,0,0,92.36,0,0,1.51,6.19,0,0
 84-94,0,0,0,14.42,4.65,0,3.83,1.43,0,7.85,0,0,0.57,0,4.6,1.58,0.59,23.67,0,0.9,0,0,338.25,0,0,0,0,6.84,0
 96-106,0,0,2.18,17.12,0,1.07,14.39,0.71,0,3.12,2.87,0,10.62,2.9,5.35,0,0,46.98,0,3.23,0,0,356.31,0,0,0,2.02,0.65,0
108-118,0,0,0,16.45,0,0.7,9.77,1.27,0,0,2.68,0,6.38,0.49,6.9,7.99,0.8,11.56,0,0.48,0.45,0,224.2,0.43,0,0,0.44,0,3.28
120,0,0,0,43.37,0,0,7.18,2.11,0,0,0,0,10.67,3.53,0,0,0,23.73,0,13.66,0,0,135.43,0,0,10.59,0,0,0
