stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,gut,heart,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord
  3-4,56,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.47,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.5,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,9.95,0,0,0
 36-46,0,0,0,0.88,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.51,0,0,0.77
 60-70,0,0,0,0,0,0,0,0.92,0,3.75,1.09,0,2.21
 72-82,0,0.5,0,14.42,0,1.26,0.58,2.94,0,5.87,0,0,3.01
 84-94,0,0,0,3.02,0,0,0,0,0,13.34,0,1.49,0
 96-106,0,0,0,3.42,0,0,0,0,0,5.89,0,0,0
108-118,0,0,0.48,2.47,0,0,0,2.35,0.41,26.89,0,0,0
120,0,0,0,10.98,6.63,0,0,0,0,43.04,1.48,0,0
