stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,44.76,0,1.18,0,0,0,0,0,0,0,1.48,0,0,0,0,35.9,0,0,10.54,12.32,0.94,0,1.77,1.12,0,8.02,0,2.65,0,0,0,0,0
 24-34,1.68,0.6,9.73,0,10.78,0,0.78,0,0,0.67,0,0,1.49,0.7,5.06,0.65,0,123.87,0,0,36.99,43.82,0.63,1.32,24.08,0,9.12,0,9.81,7.63,5.15,0,0,0,0
 36-46,0,0,2.67,0,8.17,7.17,0,0,1.52,0,0.69,0,0.78,0,1.92,0,0.91,77.68,0,0.86,38.43,74.93,1.27,0.63,21.09,7.09,12.37,0,13.86,1.38,11.76,0,0,0,0
 48-58,0,0,5.32,0,34.77,6.2,0,0.45,10.49,0,1.06,0,0,0,1.94,0,0,78.83,0,0.45,61.92,152.67,1.91,1,22.54,0,28.29,0,18.17,0,10.95,0,0,0,0
 60-70,0.57,0,6.27,1.34,52.84,16.57,1.49,1.49,25.69,0,0,0,0,0,0,0,0,69.82,0,0,31.92,249.32,0,0,26.99,0,21.98,0,7.06,0,29.97,0,0.72,0,1.49
 72-82,0,0,2.33,1.53,30.57,24.85,0,0,36.08,0,0,0,0,2.2,2.67,0,0,72.27,0,0,19.06,255,0,0,27.62,0,6.5,0,0.88,0,8.97,0,0.99,0,4.33
 84-94,1.14,0,2.75,0,32.05,17.18,1.25,4.41,57.17,0,0,0.84,0,0,1.05,0,0,73.5,0,0,20.37,145.52,0.72,0,12.77,0,21.27,0,0.68,0,10.8,0,0,1.02,0
 96-106,0.9,0,3.2,0,43.56,10.68,0,0.6,47.42,0,0,0,0,0.91,1.99,0,0,69.41,0.78,0,23.81,203.89,0,0.87,21.62,10.66,10.29,0,10.5,0,6.14,0,0,1.09,0
108-118,0,0,16.85,1.3,38.55,8.52,0,0.83,29.92,0,0,0,0,0,0,0,0,69.71,1.84,0,25.76,188.56,0,0,24.51,0,3.53,0,3.54,0,2.61,1.81,0,0,0
120,0,0,11.33,0,16.59,47.34,0,0,79.74,0,0,0,0,0,0,0,0,30.08,3.22,0,29.08,504.98,0,0,27.14,0,3.69,0,1.99,0,0,0,0,0,0
