stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,20.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,5.97,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.14,97.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568.1,22.27,0,0,2164.57,0,0,0,286.89,0,29.62,9.81,0,0,0,0
 14-21,0,10.02,3.43,613.99,280.1,0,0,15.95,0,140.62,100.53,0,0,0,0.94,0,0,0,2.74,217.59,1.53,0,116.81,407.38,170.72,0.84,1.25,763,0,5.47,2456.16,8.61,48.91,958.94,2276.24,0,29.15,0,0
 24-34,0,0,0.66,107.99,12.05,18.25,1.68,57.68,22.6,138.03,17.91,1.41,0,0,0,0,0,14.04,19.68,206.45,0.76,0,234.1,255.03,39.75,1.68,0,0,0,2.51,5.99,0,20.37,291.41,1067.2,0,201.04,0,7.52
 36-46,0,0,0,8.04,22.53,6.95,8.08,33.47,84.68,68.7,4.83,0,0,1.03,0,4.02,2.1,0,18.07,376.76,1.26,10.23,251.13,240.89,35.22,2.39,0,0,0,0,12.04,0,16.2,2.68,1581.74,0,113.8,0,16.72
 48-58,0,0,0,11.48,0,48.61,2.92,36.8,144.27,68.58,4.17,0,0,0,0,5.2,0,0.86,7.23,388.32,0,4.7,167.1,318.37,14.01,0,0.48,0,0,1.22,8.08,0,2.69,0,2184.2,0,38.51,0.5,42.33
 60-70,0,0,0,1.48,0,34.62,2.13,12.9,179.35,97.21,1.21,0,5.1,0,0,0.66,0,13.08,7.92,427.36,0,11.1,98.92,240.74,3.91,0,4.45,0,1.22,0,0,0,5.9,0,2117.76,1.61,15.19,4.91,18.63
 72-82,0,0,0,1.21,0.71,52.18,0.54,15.57,216.59,139.78,2.4,0,0,1.35,0,2.62,0,0,7.07,485.94,0.83,22.93,95.04,229.63,6.67,0,0,0,0,2.07,0,9.13,0,0,1318.74,2.28,20.99,25.07,6.81
 84-94,0,0,0,7.63,0,66.06,0,31.99,191.3,128.45,5.93,0,0,0.66,0.71,1.37,0,0,10.89,442.15,0.57,38.15,86.69,235.84,0.86,0,4.16,0,0,0,0,0,0,0,1101.82,4.86,26.61,17.74,5.75
 96-106,0,0,0,8.37,9.4,44.59,0.57,9.44,131.93,67.94,5.06,0,0,0,0,4.15,1.04,4.17,2.07,314.92,1.09,18.52,71.6,190.19,4.81,2.74,0,0,1.58,7.49,0,0,1.98,0,310.56,2.59,37.39,30.34,8.25
108-118,0,0,0,10.4,1.19,22.14,0,20.63,92.15,84.45,2.41,0,0,1.19,0.86,6.85,0,0,1.66,303.53,2.32,19.49,62.55,235.66,9.25,0,0.66,0,4.2,0,0,0,2.19,0,227.19,1.19,40.67,24.11,5.6
120,1.12,0,0,19.48,6.4,7.39,2.44,18.48,98.35,39.65,3.38,0,0,1.58,0,16.04,0,18.64,1.54,502.56,0,25.78,70.83,49.26,14.64,0,14.73,0,0,0,0,0,2.64,0,115.23,0,9.73,41.76,14.07
