stage,blastomeres,endocrine.pancreas,fast.muscle,melanocytes,mesenchyme,neural,olfactory,otic,spinal.cord
  7-9,5.67,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.65
 36-46,0,0,0,0,0,6.29,0,0,0
 48-58,0,0,0,0,0,3.37,0,0,0
 60-70,0,0,0,0.86,0,0,0,0,0
 72-82,0,0,0,0,1.4,0,1.38,0,0
 84-94,0,0,0,0,0,1.63,2.26,0,3.46
 96-106,0,1.17,0,0,0,2.24,0,0,0
108-118,0,0,0.54,0,4.04,0.99,0,0.72,0
