stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,31.45,330.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85,0,0,0,0,0,0,0,0
  5-6,14.35,75.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,0,0,68.73,0,0,0,0,0,0,0,0
  7-9,10.48,0,0,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,43.24,0,0,0,0,0,0,0,0
 10-12,0,0,0,16.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.6,0,0,0,52.89,0,24.91,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,34.29,1.65,0,1.58,0,0,0,2.79,0.82,0,0,0,1.79,0,0,0,2.38,1.89,0,0.84,8.4,0,0,0,6.22,0,31.87,0,0,9.61,0,0,0,0,0
 24-34,0,0,0,0,24.35,0,0,0.69,0,4.28,0,1.04,0,0,0,0.6,10.32,0,0,0,11.24,5.85,0,0,32.17,0,0.69,0.69,0,0,42.86,0,1.26,4.27,0,0,0,0,0
 36-46,0,0,0,0,43.3,0,0,0,0,3.38,0,4.87,0,0,0,0,0.83,0,3.26,0,4.04,2.4,0,4.69,60.29,0,0,1.22,0,0,35.77,0,0,4.68,0,0,0.56,0,0
 48-58,0,0,0,0,23.87,3.46,0,5.26,0,9.95,0.42,4.48,0.91,0.7,0,2.99,6.78,0,1.2,0,14.52,8.52,0,2.78,71.18,1.08,0,1.55,0,0,30.17,0,0,8.87,0,0,1.31,0,5.54
 60-70,0,0,0,0,20.93,0.62,0,5.72,0,11.76,0.76,6.51,3.24,0,0,0,0.58,0,2.11,1.35,34.39,1.46,0,4.88,76.99,0.75,0,0.91,0,0,64.72,0,0,10.2,0,0,0,0,0
 72-82,0,0,0.87,0,17.71,1.84,0,16.61,0,8.45,14.1,7.23,14.52,0,0,3.12,1.54,0,1.3,0,46.39,14.46,1.44,6.42,87.02,0,4.79,1.98,0,0,20.64,3.3,0,13.53,4.64,0,2.35,0.62,0
 84-94,0,0,2.22,0,50.77,2.43,0,8.01,0,17.37,4.03,6.48,22.2,0,0,11.14,4.87,0,3.27,4.71,49.8,6.93,6.66,0,62.28,0,1.67,3.1,0,0,94.15,3.07,0,7.38,5.58,2.36,1.81,2,0
 96-106,0,0,0,0,46.69,15.1,0.8,23.92,0,16.01,9.98,2.13,17.16,0,0,8.16,5.72,0,9.36,3.94,49.06,10.44,10.19,3.48,53.21,4.43,3.52,2.19,0,3.14,71.87,1.45,0,4.22,8.19,5.47,10.17,1.17,0
108-118,0,0,2.35,0,56.87,0.98,4.64,22.33,0.44,15.8,5.9,18.92,22.23,0,0,3.54,9.82,0,1.45,9.09,62.68,1.11,0,2.11,68.48,4.87,0.67,13.29,0,0,59.04,2.78,0,6.37,8.4,0,0.44,0.63,0.83
120,0,0,3.52,0,65.16,3.49,0,22.7,0,15.78,1.44,0,14.33,0,6.32,4.76,2.78,1.62,4.97,5.84,79.42,3.22,15.43,3.15,97.95,2.52,0,3.15,0,0,42.51,2.05,0,12.5,5.08,0,1.54,0,0
