stage,endoderm,epidermis,erythrocytes,eye,glial,gut,lateral.line,melanocytes,mesenchyme,mural.cell,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0
 10-12,16.11,0,0,0,0,0,0,0,0,0,28.5,0,0,10.55,0,0,0,0,0
 14-21,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,1.51,0,1.16,0,0
 24-34,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0,0
 48-58,0,0.4,0,0.44,0,0,0,1.08,0,0,7.89,0,0,0,0.77,0,0.71,0,0
 60-70,0,1.72,0,0,0,0,0.6,0,0,0,12.73,0,1.26,0,0,0,0,0,0
 72-82,0,0,0,0,0.88,0,0,0,0,0,6.74,0.97,9.72,0,0,0,0,0,0
 84-94,0,1.7,4.21,0,0,0,0,5.75,0,0,11.79,0,13.59,0,0,0,0,0,0
 96-106,0,3.28,0,0,0,0.57,2.37,0,0,0,0,0,16.24,0,0,0,0,1.67,4.13
108-118,0,1.21,0,0,0,0,1.34,0,0,0,6,0,13.79,0,0,1.78,0,0,0
120,0,1.63,0,0,2.7,0,0,0,9.7,9.54,7.28,0,34.04,0,0,0,0,0,0
