stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,36.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.15,0,0,0,3.79,0,3.78,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.1,0,0,0,13.04,0,0,0,3.38,0,0,0,0,0,0,0
 14-21,0,0,0.88,8.8,0,0,0,0,0,0,0,0,1.72,0.87,0,0,0,4.55,0,0,0,13.98,3.09,0,0,0.87,0,0,0.93,0.86,0,17.83,0,0,1.24,0,0
 24-34,0,0,0,19.83,0.66,0,2.1,0,0.87,0,2.7,0,0.62,0,0,0,2.19,5.79,0,0,1.54,65.45,0.65,0,0.65,0,0,6.41,0,0,0,43.34,0,0,0,0,4.97
 36-46,0,0,0,11.98,0,6.05,2.9,1.09,6.73,0,1.2,0,0,0,0,0,3.79,14.73,3.65,0,3.71,216.81,1.74,0.59,0,0,0,10.82,0,0,0,79.76,0,0,0,0,14.02
 48-58,0,0,0,14.91,0,15.8,5.63,0,6.8,0,0,0,2.63,0.98,0,0,1.52,16.98,2.04,0,0.37,267.24,0.44,0.88,0,0,0,11.54,0,0,0,59.16,0,0.51,0.74,0,19.29
 60-70,0,0,0,26.23,0,19.19,5.34,0.83,8.36,0,0,4.83,0,5.37,0,0,0,20.65,0,0.63,1.13,370.01,2.81,1.15,0.79,0,0,5.3,0,0,0,58.01,0,0,0,0,36.69
 72-82,0,0,0,26.56,0,11.01,20.81,0,8.67,0,0,1.84,7.41,0,0,0,0,18.5,0,0,0,356.06,0.53,2.11,0,0,0,3.16,0,0,0,17.59,0.91,0,4.67,1.2,54.72
 84-94,0,0.56,0,35.83,0,26.23,13.85,0,11.79,0,0,12.01,0,0.96,0.8,0,2.28,17.18,7.03,0,1.77,212.99,0,0,2.17,0,1.53,20.02,0,6.37,0,27.08,0.56,0,2.39,1.16,20.25
 96-106,0,0,0,46.58,0,17.35,7,0,16.79,0,3.73,8.65,1.32,0,0,0.72,0,11.77,10.8,0,1.2,123.61,0.87,2.48,0.6,0,0,4.28,0,0,0,6.02,1.17,0,1.63,0,36.88
108-118,0,0.41,0,50.3,0,9.05,6.65,0,2.23,3.76,0.69,8.06,0.55,7.17,0,0.48,0.49,4.57,3.64,0,0.6,157.6,1.95,2.63,0.66,0,1.14,6.94,0,0,0.46,8.47,1.97,1.14,0.55,1.13,59.14
120,0,0,0,35.28,0,2.89,12.19,0,3.88,0,5.02,2.13,2.5,31.57,0,0,0,10.55,17.7,0,0,237.72,2.64,0,0,0,0,8.39,0,0,0,9.81,0,0,0,0,68.81
