stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,11.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.96,1.66,0,0,0,0,0,0,0,0,0,13.01,0,0,0,0,0,0,5.98,0,1.53,0,0,0,1.93,0,0,0,0,0,0
 24-34,0,0,0,1.26,0,0.77,0,0,0,0,0,0,0,26.56,0,1.91,0,0,0.72,0,58.24,0.97,17.71,0,1.89,0,0,0,1.14,0,0,0,0
 36-46,0,0,0,2.54,0,0,0,0,1.32,0,0,0,0,20.16,0,0,0,0.72,0.99,0,165.44,0,17.87,0,0,0,0,0,3.04,0,2.52,0,0
 48-58,0,0.87,0,4.46,0,1.29,0,0,0,0,5.52,0,0,14.39,0,1.69,0,1.73,0.98,0,55.53,0,16.07,4.35,0.59,0,0,0,0.46,0,1.72,0.78,0
 60-70,0,0,0,7.31,0,3.23,0,0,0,0,0.66,0,0,8.13,0,1.16,0,1.83,4.2,0,29.54,0,20.85,2.27,0.8,0,0,0,0,6.27,0.58,0,0
 72-82,0,7.22,0,20.38,0,0.88,0,0,1.98,8.81,1.02,0,0,10.61,0,1.23,0,4.36,1.62,0,24.09,0,44.36,9.12,2.1,4.96,0,0,2.07,22.97,0,0,0
 84-94,0,14.32,0,19.47,0,8.77,0,0,0.96,4.67,3.47,0.79,1.56,26.44,0,3,0,1.54,6.11,0,40.06,0,30.61,11.01,0.66,0,0,0.7,2.67,55.8,0,0,0
 96-106,0,5.38,0,20.17,10.42,0.67,0,0.61,2.96,6.53,0,0,1.07,25.4,0,9.29,0.57,1.27,13.97,0,28.32,0,34.95,22.16,0.81,6.17,0,0,0,92.76,0,0,0.8
108-118,0,6.98,0,13.86,0.94,6.66,0,0,0,4.88,0,0,0.61,37.71,1.18,4.8,0,3.97,8.09,2.26,7.25,0,26.76,16.99,4.81,0,0,2.63,2.21,95.72,0,0,0
120,0,1.37,0,16.86,0,0,2.34,2.41,0,11.22,0,0,4.88,23.78,0,6.71,0,0,1.56,0,23.81,0,30.77,43.01,1.68,0,0,0,0,47.78,0,0,0
