stage,epidermis,eye,fin_epithelia,visceral_smooth_muscle
 24-34,2.92,0,1.86,0
 36-46,2.64,0,0,0
 48-58,5.84,0,0,0
 60-70,0.61,0,0,0
 72-82,0,5.04,0,0
 84-94,0,3.8,1.41,0
 96-106,0.94,0,0,2.37
108-118,0.85,0,0,0
