stage,blastomeres,endoderm,epidermis,glial,hatching.gland,immune,mesenchyme,mucous,neural,paraxial.mesoderm,periderm,vasculature
  3-4,119.94,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.28,6.55,0,0,0,0,0,0,0,0,18.99,0
  7-9,0,0,0,0,4.55,0,0,0,3.28,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.5,0,0
 48-58,0,0,0,0,0,0,0,0,5.82,0,0,0
 60-70,0,0,0,0,0,0.92,1.39,0,1.63,0,0,0
 72-82,0,0,0,0.73,0,0,0,0,0,0,0,0
 84-94,0,0,1.67,0,0,0,0,0,2,0,0,0.69
 96-106,0,0,0.83,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.52,0,0,0,0
120,0,0,0,0,0,3.51,0,0,0,0,1.39,0
