stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,4771.59,62847.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2127.9,0,0,0,0,0,0,0,0
  5-6,9105.9,70701.32,305.92,0,0,0,0,0,0,0,232.22,0,0,0,0,0,0,0,0,0,4767.58,298.12,1034.57,1206.76,0,0,0,0,0,0,0,0
  7-9,1026.21,851.49,4560.67,0,5.95,302.65,0,0,0,0,451.08,0,0,0,0,0,0,0,0,0,19612.02,1486.6,19404.04,115.78,152.88,0,0,0,0,0,0,0
 10-12,0,68.12,1020.15,0,0,90.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5485.57,275.55,6044.83,5.16,13.03,0,151.41,0,0,0,0,0
 14-21,0,0,2.74,6.69,6.48,0,0,0,0.85,4.7,0,0,0,0,0,0,0,4.26,0,1.13,24.48,34.68,212.14,0,0,70.57,1.74,9.5,5.21,35.19,0,0
 24-34,0,0,0.59,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,4.6,0,2.4,23.06,0.64,0,0,0,0,0,0,0,0.6,0,0
 36-46,0,0,0,0,0,6.05,0,0,0.77,0,0,0,0,0,0,0,0,5.22,0,0,26.02,0,0,0,0,0,0,0,0,6.03,0,0
 48-58,0,0,0,0,0,7.37,0,0,1.71,0,0,0,0,0.38,0.42,0,1.57,1.86,0.63,0,30.99,0,0,0.77,0,0,0,0,0,3.81,0,0
 60-70,0,0,0,0,0,13.08,0,0,1.37,0,0,3.36,0,0,0,0,0,6.61,0,0,15.04,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.04,12.05,0,0,0.87,0,0,0,0,0,0,0.62,0,2.68,0,1.88,24.7,0,0,0,0,0,0,0,0,3.07,0.57,0.62
 84-94,0,0,0,0,0,11.9,0.79,0,0,0,0,0.64,0,0,0,0,0,3.25,0,0,7.65,0,0,0,0,0,1.93,0,0,0,0,0
 96-106,0,0,0,1.36,0,11.04,0,1.29,2.77,0,0,0,0.56,0,0,0,0,3.72,0.77,0,21.6,0,0,1.22,0,0,0,0,0,0,0,0
108-118,0,0,0,0.92,0,5.89,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,8.52,0,0,3.53,0,0,0,0,0,0,0,0
120,0,0,0,0,0,21.93,0,0,1.39,0,0,0,0,0,0,0,0,0,0,3.92,11.42,0,0,0,0,0,0,0,0,0,0,0
