stage,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.06,0,10.9,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,14.57,0,4.4,0,0,0,0
 14-21,0,0,1.27,0,0,0,0,0,0,0,0,3.94,0,0,0,4.68,0,0
 24-34,0.64,0,1.97,0,0,0,0,0,0.7,0,0,63.47,2.8,0,0,22.21,0,0
 36-46,0,0,3.48,0,2.29,0,0,0,1.52,0,0,140.58,5.94,0,0,68.22,0,0
 48-58,0,0,16.28,0,1.54,0,4.44,0,5.03,0,0,211.63,1.14,0,4.84,52.36,2.36,1.91
 60-70,0,0,111.33,0,1.37,0.85,0,0,0.82,0,0.83,370.37,12.2,0,0,78.74,0.74,0
 72-82,1.38,0,128.2,0,5.23,0.56,0,0,1.19,1.3,0,430.54,4.35,0,0,30.99,0,8.66
 84-94,0,0,109.86,0.75,4.1,0,0,0,1.01,0,0,278.4,0.93,0,0.6,18.41,0,0
 96-106,1.96,0,84.31,0,0,0,0,0,2.17,2.11,0,200.98,11.9,0,0,9.77,0,0
108-118,1,0,79.73,0.72,9.63,0,0,0,4.42,0,0,227.41,2.68,0,0,15.01,0,0
120,3.24,14.01,108.32,10.57,9.97,0,0,4.02,2.11,0,3.71,415,2.49,0,0,0,6.81,0
