stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,11.89,327.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0
  5-6,21.56,77.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0,0,5.45,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0.89,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,33.97,1.5,0,0,0,0,0,4.89,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.62,0,81.21,0,0,0,0,0,0,6.5,0,0
 48-58,0,0,0,0,5.82,0.38,1.91,0,0.44,0,0,2.21,0.93,139.5,0,0.91,0,0,0.46,0,17.58,0,2.94
 60-70,0,0,0,0,11.13,0,2.3,0.58,0,0,0,1.36,0,137.56,0,0,0,0,0,0,28.6,0,0
 72-82,0,0,0,0,6.44,0,1.76,0,0,0,2.8,3.29,0,185.84,0,0,0,0,0,0,13.55,0,0
 84-94,0,0,0.91,0.92,6.39,0,0,0,0,4.05,0,0,0,165.93,0,0,0,0,0,0,11.5,0,0
 96-106,0,0,0.65,0,1.41,0,4.32,0,0,0,0,1.15,0,107.18,0,0.65,0,0,0,0,9.66,0,0
108-118,0,0,2.2,0,1.35,0,0,0,0,2.6,0,0,0,128.93,0,0,0,2.55,0,0,1.22,0,0
120,0,0,0,0,1.2,0,0,0,0,0,0,0,0,147.99,0,0,0,0,0,0,1.95,10.78,0
