stage,blastomeres,epidermis,eye,immune,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,25.73,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.42,0,0,0,0
 10-12,0,0,0,0,0,15.04,4.91,0,0,0
 14-21,0,4.25,0,0,0,1.52,0,0,0,0
 24-34,0,0,0.97,0,0.71,0,0,0,0.98,0
 36-46,0,0,0.73,0,0,0,0,0,0,0
 48-58,0,0,0,0.37,0.4,0,0,0,0,0
 60-70,0,0,0,1.68,0,3.72,0,0,0,0
 72-82,0,0,0,1.55,0,0,0,0,0,0
 84-94,0,0,0,5.22,0,0,0,0,0,0
 96-106,0,0,0,3.41,0,0,0,0,0,0
108-118,0,0,0,3.2,0,0,0,0.52,0,0
120,0,0,0,3.3,0,0,0,0,0,1.41
